1310976782463: started, mId = 5104
1310976782463: region (-1, -1) out of bounds, dormant
1310976782465: UserClient started
1310976787210: Received UDP payload: 698
1310976792245: Received UDP payload: 698
1310976793029: Received UDP payload: 470
1310976793639: Received UDP payload: 470
1310976794073: Received UDP payload: 470
1310976794223: Received UDP payload: 470
1310976794663: Received UDP payload: 470
1310976795274: Received UDP payload: 470
1310976797236: Received UDP payload: 698
1310976797549: moving from region (-1,-1), to (1,0)
1310976797551: sending LEADER_REQUEST
1310976797596: Sending UDP payload: 470
1310976797600: UserClient received REGION_CHANGE message.
1310976797775: Received UDP payload: 470
1310976797971: Received UDP payload: 470
1310976798153: sending LEADER_REQUEST
1310976798194: Sending UDP payload: 470
1310976798285: Received UDP payload: 851
1310976798315: Received UDP payload: 881
1310976798369: Received UDP payload: 470
1310976798558: Received UDP payload: 470
1310976798617: Received UDP payload: 12357
1310976798755: sending LEADER_REQUEST
1310976798889: Received UDP payload: 12353
1310976798892: Received UDP payload: 11659
1310976798932: Received UDP payload: 11659
1310976798995: Received UDP payload: 470
1310976799040: Sending UDP payload: 470
1310976799049: Received UDP payload: 470
1310976799138: Received UDP payload: 470
1310976799330: Requesting spot in (0,0)
1310976799350: Received UDP payload: 11659
1310976799357: Sending UDP payload: 698
1310976799606: Received UDP payload: 470
1310976799640: Received UDP payload: 470
1310976799900: Received UDP payload: 698
1310976800204: Received UDP payload: 470
1310976800229: Received UDP payload: 470
1310976800266: Received UDP payload: 698
1310976800329: Received UDP payload: 851
1310976800407: Received UDP payload: 698
1310976800608: Received UDP payload: 470
1310976800628: Received UDP payload: 470
1310976800841: Received UDP payload: 11686
1310976800961: Received UDP payload: 851
1310976800978: Received UDP payload: 881
1310976801328: Received UDP payload: 11489
1310976801547: Received UDP payload: 11642
1310976801550: Received UDP payload: 851
1310976801782: Received UDP payload: 470
1310976802282: Received UDP payload: 698
1310976802325: Received UDP payload: 698
1310976802328: Received UDP payload: 851
1310976802332: Received UDP payload: 698
1310976802372: Received UDP payload: 698
1310976802386: Received UDP payload: 851
1310976802431: Received UDP payload: 881
1310976802487: Received UDP payload: 698
1310976802653: Received UDP payload: 12161
1310976802904: Received UDP payload: 851
1310976803009: Received UDP payload: 851
1310976803053: Received UDP payload: 881
1310976803350: Received UDP payload: 11489
1310976803583: Received UDP payload: 11736
1310976803588: heard LEADER_REPLY from 5106
1310976803588: now NONLEADER following LEADER 5106
1310976803597: Received UDP payload: 698
1310976803604: Received UDP payload: 851
1310976803613: Received UDP payload: 881
1310976803616: Received UDP payload: 12079
1310976803786: Received UDP payload: 698
1310976803789: Received UDP payload: 851
1310976803793: Received UDP payload: 851
1310976803842: Received UDP payload: 851
1310976803873: Received UDP payload: 851
1310976803883: Received UDP payload: 698
1310976803894: Received UDP payload: 851
1310976803914: Received UDP payload: 881
1310976803936: Received UDP payload: 698
