1310975953675: started, mId = 5104
1310975953676: region (-1, -1) out of bounds, dormant
1310975953688: UserClient started
1310975979687: Received UDP payload: 698
1310975979870: Received UDP payload: 470
1310975980438: Received UDP payload: 470
1310975980455: Received UDP payload: 470
1310975980487: Received UDP payload: 470
1310975981020: Received UDP payload: 470
1310975981069: Received UDP payload: 470
1310975981097: Received UDP payload: 470
1310975981634: Received UDP payload: 470
1310975981690: Received UDP payload: 470
1310975982030: Received UDP payload: 698
1310975982317: Received UDP payload: 698
1310975982520: Received UDP payload: 470
1310975982794: moving from region (-1,-1), to (1,0)
1310975982795: sending LEADER_REQUEST
1310975982844: Sending UDP payload: 470
1310975982844: UserClient received REGION_CHANGE message.
1310975982935: Received UDP payload: 470
1310975983137: Received UDP payload: 470
1310975983317: Received UDP payload: 470
1310975983397: sending LEADER_REQUEST
1310975983405: Sending UDP payload: 470
1310975983545: Received UDP payload: 470
1310975983562: Received UDP payload: 698
1310975983743: Received UDP payload: 470
1310975983944: Received UDP payload: 470
1310975984000: sending LEADER_REQUEST
1310975984016: Sending UDP payload: 470
1310975984155: Received UDP payload: 470
1310975984172: Received UDP payload: 470
1310975984313: LEADER_REQUEST timed out
1310975984511: Received UDP payload: 698
1310975984542: Received UDP payload: 470
1310975984548: Reading spot in (1,1)
1310975984554: Sending UDP payload: 698
1310975984728: Received UDP payload: 470
1310975984747: Received UDP payload: 698
1310975984765: Received UDP payload: 470
1310975984875: Received UDP payload: 851
1310975984915: Received UDP payload: 881
1310975984939: Received UDP payload: 851
1310975984941: Received UDP payload: 881
1310975985234: Received UDP payload: 11489
1310975985444: Received UDP payload: 11642
1310975985446: Received UDP payload: 11642
1310975985481: Received UDP payload: 470
1310975985614: Received UDP payload: 11659
1310975985929: Received UDP payload: 12370
1310975985933: Received UDP payload: 470
1310975985962: Received UDP payload: 470
1310975986139: Received UDP payload: 11659
1310975986241: Received UDP payload: 11659
1310975986258: Received UDP payload: 851
1310975986393: Received UDP payload: 12461
1310975986523: Received UDP payload: 851
1310975986536: Received UDP payload: 11716
1310975986602: Received UDP payload: 470
1310975986700: Received UDP payload: 11716
1310975986716: cloud rejected leadership request or request failed, wait to retry
1310975986725: heard LEADER_REPLY from 5105
1310975986726: now NONLEADER following LEADER 5105
1310975986841: Received UDP payload: 12427
1310975986968: Received UDP payload: 11716
1310975987001: Received UDP payload: 851
1310975987027: Received UDP payload: 881
1310975987063: Received UDP payload: 698
1310975987130: Received UDP payload: 851
1310975987157: Received UDP payload: 698
1310975987353: Received UDP payload: 698
1310975987374: Received UDP payload: 851
1310975987418: Received UDP payload: 698
1310975987470: Received UDP payload: 11642
1310975987488: Received UDP payload: 470
1310975988229: Received UDP payload: 851
1310975988252: Received UDP payload: 881
1310975988656: Received UDP payload: 698
1310975988678: Received UDP payload: 851
1310975988701: Received UDP payload: 698
1310975988703: Received UDP payload: 698
1310975988705: Received UDP payload: 851
1310975988707: Received UDP payload: 851
1310975988709: Received UDP payload: 851
1310975988722: Received UDP payload: 698
1310975989305: Received UDP payload: 698
1310975989377: Received UDP payload: 851
1310975989427: Received UDP payload: 881
1310975989429: Received UDP payload: 698
1310975989431: Received UDP payload: 698
1310975989434: Received UDP payload: 851
1310975989442: Received UDP payload: 881
1310975989450: Received UDP payload: 698
1310975989528: Received UDP payload: 698
1310975989555: UserClient request timed out. (1,1)=?
1310975989556: Reading spot in (1,0)
1310975989561: Sending UDP payload: 698
1310975989619: Received UDP payload: 881
1310975989626: Received UDP payload: 698
1310975989633: Received UDP payload: 851
1310975989641: Received UDP payload: 881
1310975989647: Received UDP payload: 698
1310975989649: UserClient read on (1,0) from (1,0)succeeded, value=20,latency=93
1310975989693: Received UDP payload: 698
1310975989706: Received UDP payload: 851
1310975989727: Received UDP payload: 698
1310975990721: Received UDP payload: 698
1310975990749: Received UDP payload: 881
1310975990773: Received UDP payload: 698
1310975990792: Received UDP payload: 698
1310975990809: Received UDP payload: 851
1310975990820: Received UDP payload: 698
1310975991462: Received UDP payload: 698
1310975991509: Received UDP payload: 698
1310975991528: Received UDP payload: 881
1310975991552: Received UDP payload: 851
1310975991554: Received UDP payload: 698
1310975991564: Received UDP payload: 881
1310975991566: Received UDP payload: 698
1310975991652: Reading spot in (1,0)
1310975991658: Sending UDP payload: 698
1310975991694: Received UDP payload: 698
1310975991740: Received UDP payload: 851
1310975991750: Received UDP payload: 698
1310975991761: Received UDP payload: 881
1310975991765: Received UDP payload: 698
1310975991767: UserClient read on (1,0) from (1,0)succeeded, value=20,latency=115
1310975991773: Received UDP payload: 881
1310975991779: Received UDP payload: 698
1310975991785: Received UDP payload: 851
1310975991793: Received UDP payload: 881
1310975991799: Received UDP payload: 698
1310975991916: Received UDP payload: 698
1310975991939: Received UDP payload: 851
1310975991960: Received UDP payload: 698
1310975992257: Received UDP payload: 470
1310975992816: Received UDP payload: 851
1310975992843: Received UDP payload: 881
1310975992867: Received UDP payload: 698
1310975992886: Received UDP payload: 698
1310975992904: Received UDP payload: 851
1310975992906: Received UDP payload: 698
1310975993593: Received UDP payload: 698
1310975993619: Received UDP payload: 881
1310975993643: Received UDP payload: 698
1310975993662: Received UDP payload: 698
1310975993705: Received UDP payload: 881
1310975993729: Received UDP payload: 698
1310975993771: Requesting spot in (0,0)
1310975993794: Sending UDP payload: 698
1310975993819: Received UDP payload: 698
1310975993860: Received UDP payload: 698
1310975993886: Received UDP payload: 851
1310975993896: Received UDP payload: 851
1310975993906: Received UDP payload: 881
1310975993918: Received UDP payload: 881
1310975993943: Received UDP payload: 698
1310975993951: Received UDP payload: 698
1310975993953: UserClient decrement on (0,0) from (1,0) succeeded, value=19,latency=176
1310975993985: Received UDP payload: 881
1310975993991: Received UDP payload: 698
1310975994070: Received UDP payload: 698
1310975994147: Received UDP payload: 13134
1310975994373: Received UDP payload: 851
1310975994376: Received UDP payload: 881
1310975994378: Received UDP payload: 698
1310975994380: Received UDP payload: 851
1310975994400: Received UDP payload: 851
1310975994448: Received UDP payload: 851
1310975994512: Received UDP payload: 851
1310975994870: Received UDP payload: 698
1310975994890: Received UDP payload: 851
1310975994932: Received UDP payload: 881
1310975994958: Received UDP payload: 698
1310975994978: Received UDP payload: 698
1310975995011: Received UDP payload: 881
1310975995038: Received UDP payload: 698
1310975995115: Received UDP payload: 12276
1310975995321: Received UDP payload: 851
1310975995326: Received UDP payload: 470
1310975995343: Received UDP payload: 851
1310975995388: Received UDP payload: 851
1310975995652: Received UDP payload: 698
1310975995677: Received UDP payload: 881
1310975995701: Received UDP payload: 698
1310975995828: Received UDP payload: 698
1310975995881: Received UDP payload: 851
1310975995908: Received UDP payload: 470
1310975995921: Received UDP payload: 881
1310975995928: Received UDP payload: 698
1310975995951: Received UDP payload: 698
1310975995956: Reading spot in (0,0)
1310975995957: Sending UDP payload: 698
1310975995965: Received UDP payload: 881
1310975995978: Received UDP payload: 698
1310975995986: Received UDP payload: 881
1310975995992: Received UDP payload: 698
1310975995995: UserClient read on (0,0) from (1,0)succeeded, value=19,latency=38
1310975996054: Received UDP payload: 698
1310975996120: Received UDP payload: 851
1310975996191: Received UDP payload: 698
