1310690717322: started, mId = 5110
1310690717323: region (-1, -1) out of bounds, dormant
1310690717323: UserClient started
1310690719069: Received UDP payload: 470
1310690724070: Received UDP payload: 470
1310690729071: Received UDP payload: 470
1310690733302: Received UDP payload: 698
1310690733358: Received UDP payload: 851
1310690733402: Received UDP payload: 881
1310690733406: Received UDP payload: 1158
1310690733415: Received UDP payload: 698
1310690734070: Received UDP payload: 470
1310690739071: Received UDP payload: 470
1310690744072: Received UDP payload: 470
1310690749081: Received UDP payload: 470
1310690754083: Received UDP payload: 470
1310690759084: Received UDP payload: 470
1310690760931: Received UDP payload: 470
1310690761518: Received UDP payload: 470
1310690762149: Received UDP payload: 470
1310690763813: x,y from GPS: 5, 10
1310690763814: moving from region (-1,-1), to (0,0)
1310690763814: retry sending LEADER_REQUEST
1310690763815: UserClient received REGION_CHANGE message.
1310690763821: Sending UDP payload: 470
1310690763956: Received UDP payload: 4073
1310690763988: heard LEADER_REPLY from 5104
1310690763998: now NONLEADER following LEADER 5104
1310690764081: Received UDP payload: 470
1310690765691: Received UDP payload: 2508
1310690765727: Received UDP payload: 470
1310690766769: x,y from GPS: 17, 5
1310690769088: Received UDP payload: 470
1310690769793: x,y from GPS: 26, 7
1310690770708: Received UDP payload: 470
1310690770910: Received UDP payload: 470
1310690771549: Received UDP payload: 470
1310690772161: Received UDP payload: 470
1310690774093: Received UDP payload: 470
1310690774145: Received UDP payload: 470
1310690774262: Received UDP payload: 4073
1310690774946: Received UDP payload: 470
1310690775065: Received UDP payload: 4073
1310690775669: Received UDP payload: 470
1310690775715: Received UDP payload: 470
1310690775787: Received UDP payload: 4073
1310690778832: Received UDP payload: 470
1310690779087: Received UDP payload: 470
1310690779472: Received UDP payload: 470
1310690779586: Received UDP payload: 4073
1310690779709: Received UDP payload: 470
1310690779837: Received UDP payload: 4073
1310690780350: Received UDP payload: 470
1310690780503: Received UDP payload: 470
1310690780706: Received UDP payload: 470
1310690781119: Received UDP payload: 470
1310690781739: Received UDP payload: 470
1310690784084: Received UDP payload: 470
1310690785708: Received UDP payload: 470
1310690786110: Received UDP payload: 2659
1310690786148: Received UDP payload: 470
1310690786346: Received UDP payload: 470
1310690786933: Received UDP payload: 470
1310690787564: Received UDP payload: 470
1310690787869: Received UDP payload: 487
1310690789083: Received UDP payload: 470
1310690789108: Received UDP payload: 470
1310690789203: Received UDP payload: 4073
1310690790739: Received UDP payload: 470
1310690791127: Received UDP payload: 470
1310690791253: Received UDP payload: 4073
1310690794084: Received UDP payload: 470
1310690795727: Received UDP payload: 470
1310690795848: x,y from GPS: 30, 1
1310690799084: Received UDP payload: 470
1310690800740: Received UDP payload: 470
1310690804092: Received UDP payload: 470
1310690805740: Received UDP payload: 470
1310690807514: Received UDP payload: 470
1310690808104: Received UDP payload: 470
1310690808711: Received UDP payload: 470
1310690809096: Received UDP payload: 470
1310690810727: Received UDP payload: 470
1310690814078: Received UDP payload: 470
1310690815744: Received UDP payload: 470
1310690817870: Received UDP payload: 487
1310690819094: Received UDP payload: 470
1310690820869: x,y from GPS: 30, -4
1310690822007: Received UDP payload: 470
1310690822630: Received UDP payload: 470
1310690822862: Received UDP payload: 470
1310690822927: Received UDP payload: 4073
1310690823485: Received UDP payload: 470
1310690823599: Received UDP payload: 4073
1310690823703: Received UDP payload: 2508
1310690823760: Received UDP payload: 470
1310690824088: Received UDP payload: 470
1310690824115: Received UDP payload: 470
1310690824215: Received UDP payload: 4073
1310690828701: Received UDP payload: 470
1310690829082: Received UDP payload: 470
1310690833713: Received UDP payload: 470
1310690834091: Received UDP payload: 470
1310690834889: Received UDP payload: 470
1310690834967: Received UDP payload: 4073
1310690835514: Received UDP payload: 470
1310690835631: Received UDP payload: 4073
1310690836137: Received UDP payload: 470
1310690836269: Received UDP payload: 4073
1310690838741: Received UDP payload: 470
1310690838859: Received UDP payload: 487
1310690838864: heard LEADER_ELECT from node 5104, responding LEADER_NOMINATE
1310690838870: Sending UDP payload: 470
1310690838877: Received UDP payload: 470
1310690838887: Received UDP payload: 470
1310690838908: Received UDP payload: 470
1310690838921: Received UDP payload: 470
1310690839092: Received UDP payload: 470
1310690839358: Received UDP payload: 4073
1310690839426: Received UDP payload: 487
1310690840877: Received UDP payload: 470
1310690841500: Received UDP payload: 470
1310690841528: Received UDP payload: 698
1310690842100: Received UDP payload: 470
1310690843420: Received UDP payload: 470
1310690843727: Received UDP payload: 470
1310690844039: Received UDP payload: 470
1310690844142: Received UDP payload: 698
1310690844641: Received UDP payload: 470
1310690845280: Received UDP payload: 4056
1310690845300: heard LEADER_REPLY from 5107
1310690845314: now NONLEADER following LEADER 5107
1310690845328: Received UDP payload: 4073
1310690845365: Received UDP payload: 4073
1310690845404: Received UDP payload: 698
1310690845670: Received UDP payload: 2659
1310690845824: Received UDP payload: 487
1310690846128: Received UDP payload: 470
1310690847865: x,y from GPS: 24, -7
1310690847872: Received UDP payload: 470
1310690847943: Received UDP payload: 470
1310690848053: Received UDP payload: 4073
1310690848502: Received UDP payload: 470
1310690848718: Received UDP payload: 470
1310690849115: Received UDP payload: 470
1310690849141: Received UDP payload: 470
1310690849298: Received UDP payload: 4073
1310690849844: Received UDP payload: 470
1310690850071: Received UDP payload: 698
1310690850465: Received UDP payload: 470
1310690851070: Received UDP payload: 470
1310690851122: Received UDP payload: 470
1310690853127: Received UDP payload: 2659
1310690853732: Received UDP payload: 470
1310690854090: Received UDP payload: 470
1310690856123: Received UDP payload: 470
1310690858739: Received UDP payload: 470
1310690859098: Received UDP payload: 470
1310690859877: Received UDP payload: 487
1310690861123: Received UDP payload: 470
1310690861524: Received UDP payload: 698
1310690861556: Received UDP payload: 851
1310690861573: Received UDP payload: 881
1310690861577: Received UDP payload: 698
1310690861886: Received UDP payload: 487
1310690863706: Received UDP payload: 470
1310690863760: Received UDP payload: 470
1310690863850: Received UDP payload: 4073
1310690864356: Received UDP payload: 470
1310690864960: Received UDP payload: 470
1310690866126: Received UDP payload: 470
1310690868031: Received UDP payload: 2659
1310690869128: Received UDP payload: 470
1310690871124: Received UDP payload: 470
1310690873474: Received UDP payload: 698
1310690874132: Received UDP payload: 470
1310690876124: Received UDP payload: 470
1310690879130: Received UDP payload: 470
1310690881133: Received UDP payload: 470
1310690884149: Received UDP payload: 470
1310690885813: Received UDP payload: 698
1310690886131: Received UDP payload: 470
1310690886884: Received UDP payload: 698
1310690889165: Received UDP payload: 470
1310690891129: Received UDP payload: 470
1310690893324: Received UDP payload: 698
1310690893357: Received UDP payload: 851
1310690893381: Received UDP payload: 881
1310690893385: Received UDP payload: 698
1310690894146: Received UDP payload: 470
1310690896124: Received UDP payload: 470
1310690899161: Received UDP payload: 470
1310690901137: Received UDP payload: 470
1310690904148: Received UDP payload: 470
1310690906139: Received UDP payload: 470
1310690906968: Received UDP payload: 470
1310690907866: x,y from GPS: 25, -2
1310690909156: Received UDP payload: 470
1310690909866: x,y from GPS: 29, 3
1310690911135: Received UDP payload: 470
1310690914158: Received UDP payload: 470
1310690915867: x,y from GPS: 32, 7
1310690916133: Received UDP payload: 470
1310690919163: Received UDP payload: 470
1310690919866: x,y from GPS: 37, 11
1310690919867: moving from region (0,0), to (1,0)
1310690919868: retry sending LEADER_REQUEST
1310690919868: UserClient received REGION_CHANGE message.
1310690919873: Sending UDP payload: 470
1310690919964: Received UDP payload: 2676
1310690919969: heard LEADER_REPLY from 5102
1310690919969: now NONLEADER following LEADER 5102
1310690920876: Received UDP payload: 470
1310690920960: Received UDP payload: 2676
1310690921137: Received UDP payload: 470
1310690921615: Received UDP payload: 470
1310690921706: Received UDP payload: 2676
1310690922402: retry sending LEADER_REQUEST
1310690922427: Sending UDP payload: 470
1310690922581: Received UDP payload: 2676
1310690922602: heard LEADER_REPLY from 5102
1310690922604: now NONLEADER following LEADER 5102
1310690924093: Invalid region for parking read.
1310690924151: Received UDP payload: 470
1310690924263: Received UDP payload: 698
1310690924339: Received UDP payload: 851
1310690924376: Received UDP payload: 881
1310690924420: Received UDP payload: 698
1310690926132: Received UDP payload: 470
1310690929153: Received UDP payload: 470
1310690931130: Received UDP payload: 470
1310690933169: Received UDP payload: 698
1310690934168: Received UDP payload: 470
1310690935408: Received UDP payload: 698
1310690935475: Received UDP payload: 851
1310690935518: Received UDP payload: 881
1310690935521: Received UDP payload: 698
1310690935849: x,y from GPS: 42, 7
1310690936129: Received UDP payload: 698
1310690936155: Received UDP payload: 470
1310690936833: Received UDP payload: 698
1310690937374: Received UDP payload: 698
1310690939181: Received UDP payload: 470
1310690941136: Received UDP payload: 470
1310690944194: Received UDP payload: 470
1310690946143: Received UDP payload: 470
1310690949169: Received UDP payload: 470
1310690950856: x,y from GPS: 46, 2
1310690951139: Received UDP payload: 470
1310690952867: x,y from GPS: 51, 0
1310690954166: Received UDP payload: 470
1310690956137: Received UDP payload: 470
1310690959196: Received UDP payload: 470
1310690959871: x,y from GPS: 54, -4
1310690961125: Received UDP payload: 470
1310690961508: Received UDP payload: 470
1310690961819: Received UDP payload: 470
