1310697076420: started, mId = 5110
1310697076421: retry sending LEADER_REQUEST
1310697076431: UserClient started
1310697076432: Sending UDP payload: 470
1310697076529: Received UDP payload: 2231
1310697076536: heard LEADER_REPLY from 5102
1310697076536: now NONLEADER following LEADER 5102
1310697078553: Received UDP payload: 470
1310697083558: Received UDP payload: 470
1310697088571: Received UDP payload: 470
1310697093577: Received UDP payload: 470
1310697098584: Received UDP payload: 470
1310697103594: Received UDP payload: 470
1310697108596: Received UDP payload: 470
1310697113395: Received UDP payload: 470
1310697113482: Received UDP payload: 2231
1310697113605: Received UDP payload: 470
1310697118600: Received UDP payload: 470
1310697123608: Received UDP payload: 470
1310697125220: Received UDP payload: 698
1310697126839: Received UDP payload: 470
1310697126932: Received UDP payload: 2231
1310697128610: Received UDP payload: 470
1310697133617: Received UDP payload: 470
1310697136747: Received UDP payload: 487
1310697136789: heard LEADER_ELECT from node 5102, responding LEADER_NOMINATE
1310697136810: Received UDP payload: 470
1310697136810: Sending UDP payload: 470
1310697136817: Received UDP payload: 470
1310697136822: Received UDP payload: 470
1310697136826: Received UDP payload: 470
1310697136834: Received UDP payload: 470
1310697137241: Received UDP payload: 2231
1310697139930: Received UDP payload: 487
1310697139953: heard LEADER_ELECT from node 5102, responding LEADER_NOMINATE
1310697139981: Received UDP payload: 470
1310697139992: Sending UDP payload: 470
1310697140001: Received UDP payload: 470
1310697140003: Received UDP payload: 470
1310697142119: Received UDP payload: 470
1310697142751: Received UDP payload: 470
1310697143340: Received UDP payload: 470
1310697149411: Received UDP payload: 470
1310697150000: Received UDP payload: 470
1310697150609: Received UDP payload: 470
1310697151467: retry sending LEADER_REQUEST
1310697151496: Sending UDP payload: 470
1310697151851: Received UDP payload: 470
1310697151915: Received UDP payload: 470
1310697152069: retry sending LEADER_REQUEST
1310697152103: Sending UDP payload: 470
1310697152439: Received UDP payload: 470
1310697152465: Received UDP payload: 470
1310697152671: retry sending LEADER_REQUEST
1310697152672: Sending UDP payload: 470
1310697152967: LEADER_REQUEST timed out
1310697153050: Received UDP payload: 470
1310697153066: Received UDP payload: 470
1310697153433: Received UDP payload: 470
1310697153671: Received UDP payload: 470
1310697154048: Received UDP payload: 470
1310697154274: Received UDP payload: 470
1310697154517: Received UDP payload: 2244
1310697154543: Received UDP payload: 2261
1310697154578: Received UDP payload: 2261
1310697154588: Received UDP payload: 2261
1310697154608: Received UDP payload: 2261
1310697154628: Received UDP payload: 2261
1310697154652: Received UDP payload: 2261
1310697154677: Received UDP payload: 2261
1310697154698: Received UDP payload: 2261
1310697154718: Received UDP payload: 2261
1310697154737: Received UDP payload: 2261
1310697154762: Received UDP payload: 2261
1310697154782: Received UDP payload: 2261
1310697154802: Received UDP payload: 2261
1310697154817: Received UDP payload: 470
1310697155347: Received UDP payload: 470
1310697155456: Received UDP payload: 2261
1310697155920: cloud rejected leadership request or request failed, wait to retry
1310697155933: heard LEADER_REPLY from 5105
1310697155934: now NONLEADER following LEADER 5105
1310697159840: Received UDP payload: 470
1310697164789: Received UDP payload: 470
1310697169799: Received UDP payload: 470
1310697170404: Received UDP payload: 470
1310697170503: Received UDP payload: 2261
1310697174031: Received UDP payload: 470
1310697174112: Received UDP payload: 2261
1310697174802: Received UDP payload: 470
1310697179899: Received UDP payload: 470
1310697180941: Received UDP payload: 470
1310697181017: Received UDP payload: 2261
1310697181603: Received UDP payload: 470
1310697181675: Received UDP payload: 2261
1310697184439: Received UDP payload: 470
1310697184822: Received UDP payload: 470
1310697185095: Received UDP payload: 470
1310697185680: Received UDP payload: 470
1310697186680: Received UDP payload: 470
1310697187282: Received UDP payload: 470
1310697187664: Received UDP payload: 470
1310697187743: Received UDP payload: 2261
1310697187889: Received UDP payload: 470
1310697188040: Received UDP payload: 470
1310697188108: Received UDP payload: 2261
1310697189086: Received UDP payload: 851
1310697189180: Received UDP payload: 881
1310697189290: Received UDP payload: 7634
1310697189371: Received UDP payload: 7651
1310697189438: Received UDP payload: 7651
1310697189514: Received UDP payload: 7651
1310697189829: Received UDP payload: 470
1310697190941: Received UDP payload: 470
1310697194825: Received UDP payload: 470
1310697195747: Received UDP payload: 470
1310697195951: Received UDP payload: 7651
1310697195973: Received UDP payload: 470
1310697197392: Received UDP payload: 470
1310697197526: Received UDP payload: 2261
1310697197623: Received UDP payload: 470
1310697197791: Received UDP payload: 7651
1310697199072: Received UDP payload: 698
1310697199792: Received UDP payload: 470
1310697199833: Received UDP payload: 470
1310697199944: Received UDP payload: 7651
1310697200948: Received UDP payload: 470
1310697203001: Received UDP payload: 470
1310697203050: Received UDP payload: 470
1310697203175: Received UDP payload: 7651
1310697203261: Received UDP payload: 7651
1310697204838: Received UDP payload: 470
1310697205168: Received UDP payload: 470
1310697205312: Received UDP payload: 7651
1310697205394: Received UDP payload: 470
1310697205553: Received UDP payload: 7651
1310697205948: Received UDP payload: 470
1310697207451: Received UDP payload: 470
1310697207600: Received UDP payload: 7651
1310697209051: Received UDP payload: 698
1310697209118: Received UDP payload: 851
1310697209163: Received UDP payload: 881
1310697209166: Received UDP payload: 698
1310697209845: Received UDP payload: 470
1310697210161: Received UDP payload: 470
1310697210307: Received UDP payload: 7651
1310697210955: Received UDP payload: 470
1310697213571: Received UDP payload: 470
1310697213717: Received UDP payload: 7651
1310697214401: Reading spot in (0,0)
1310697214407: Sending UDP payload: 698
1310697214488: Received UDP payload: 851
1310697214496: Received UDP payload: 881
1310697214503: Received UDP payload: 698
1310697214509: Parking read on (0,0) from (0,0)succeeded, spots=19,latency=107
1310697214843: Received UDP payload: 470
1310697214998: Reading spot in (0,0)
1310697215023: Sending UDP payload: 698
1310697215094: Received UDP payload: 851
1310697215106: Received UDP payload: 881
1310697215116: Received UDP payload: 698
1310697215123: Parking read on (0,0) from (0,0)succeeded, spots=19,latency=123
1310697215166: Received UDP payload: 470
1310697215279: Received UDP payload: 7651
1310697215967: Received UDP payload: 470
