1310977099419: started, mId = 5103
1310977099420: region (-1, -1) out of bounds, dormant
1310977099425: UserClient started
1310977100017: Received UDP payload: 698
1310977100085: Received UDP payload: 851
1310977100091: Received UDP payload: 881
1310977101319: Received UDP payload: 698
1310977101427: Received UDP payload: 698
1310977102090: Received UDP payload: 470
1310977102853: Received UDP payload: 470
1310977102969: Received UDP payload: 698
1310977103007: Received UDP payload: 470
1310977103019: Received UDP payload: 698
1310977103194: Received UDP payload: 698
1310977103313: Received UDP payload: 698
1310977103355: Received UDP payload: 698
1310977103373: Received UDP payload: 851
1310977103456: Received UDP payload: 470
1310977103590: Received UDP payload: 470
1310977103874: Received UDP payload: 698
1310977104076: Received UDP payload: 698
1310977104126: Received UDP payload: 470
1310977104178: Received UDP payload: 470
1310977104262: Received UDP payload: 698
1310977104503: Received UDP payload: 851
1310977105128: Received UDP payload: 851
1310977105754: Received UDP payload: 851
1310977105795: Received UDP payload: 698
1310977106447: Received UDP payload: 698
1310977106930: moving from region (-1,-1), to (1,0)
1310977106936: sending LEADER_REQUEST
1310977107002: Sending UDP payload: 470
1310977107003: UserClient received REGION_CHANGE message.
1310977107538: sending LEADER_REQUEST
1310977107555: Sending UDP payload: 470
1310977107840: Received UDP payload: 698
1310977107850: Reading spot in (1,0)
1310977107851: Received UDP payload: 881
1310977107861: Received UDP payload: 698
1310977107866: Sending UDP payload: 698
1310977107952: Received UDP payload: 698
1310977108048: Received UDP payload: 698
1310977108141: sending LEADER_REQUEST
1310977108178: Sending UDP payload: 470
1310977108241: Received UDP payload: 698
1310977108297: Received UDP payload: 698
1310977108444: LEADER_REQUEST timed out
1310977108862: Received UDP payload: 698
1310977109077: Received UDP payload: 698
1310977109266: Received UDP payload: 698
1310977109894: Received UDP payload: 698
1310977109953: Received UDP payload: 881
1310977109990: Received UDP payload: 698
1310977111470: Received UDP payload: 698
1310977111989: Received UDP payload: 698
1310977112007: Received UDP payload: 851
1310977112085: Received UDP payload: 470
1310977112863: UserClient request timed out. (1,0)=?
1310977112879: Requesting spot in (0,0)
1310977112923: Sending UDP payload: 698
1310977112992: Received UDP payload: 851
1310977112998: Received UDP payload: 698
1310977113020: Received UDP payload: 698
1310977113223: Received UDP payload: 698
1310977113358: Received UDP payload: 698
1310977113639: Received UDP payload: 851
1310977113889: Received UDP payload: 698
1310977114106: Received UDP payload: 698
1310977114273: Received UDP payload: 851
1310977114340: Received UDP payload: 698
1310977114348: Received UDP payload: 698
1310977116315: Received UDP payload: 698
1310977116334: Received UDP payload: 851
1310977116449: Received UDP payload: 698
1310977117309: Received UDP payload: 851
1310977117895: UserClient request timed out. (0,0)=?
1310977117913: Requesting spot in (0,0)
1310977117937: Received UDP payload: 851
1310977117948: Sending UDP payload: 698
1310977118024: Received UDP payload: 698
1310977118030: Received UDP payload: 698
1310977118244: Received UDP payload: 698
1310977118356: Received UDP payload: 698
1310977118561: Received UDP payload: 851
1310977118578: Received UDP payload: 698
1310977118917: Received UDP payload: 698
1310977119128: Received UDP payload: 698
1310977119317: Received UDP payload: 698
1310977119436: Received UDP payload: 470
1310977120057: Received UDP payload: 470
1310977120614: Received UDP payload: 698
1310977120641: Received UDP payload: 851
1310977120669: Received UDP payload: 470
1310977120850: Received UDP payload: 470
1310977121430: Received UDP payload: 470
1310977121483: Received UDP payload: 698
1310977121601: Received UDP payload: 851
1310977122049: Received UDP payload: 470
1310977122092: Received UDP payload: 470
1310977122229: Received UDP payload: 851
1310977122823: Received UDP payload: 8241
1310977122858: Received UDP payload: 470
1310977122888: Received UDP payload: 851
1310977122902: Received UDP payload: 698
1310977122920: UserClient request timed out. (0,0)=?
1310977122920: Requesting spot in (0,0)
1310977122925: Sending UDP payload: 698
1310977122940: Received UDP payload: 8258
1310977123093: Received UDP payload: 8258
1310977123120: Received UDP payload: 698
1310977123291: Received UDP payload: 698
1310977123334: Received UDP payload: 698
1310977123384: Received UDP payload: 851
1310977123387: Received UDP payload: 881
1310977123508: Received UDP payload: 9185
1310977123725: Received UDP payload: 698
1310977123730: Received UDP payload: 851
1310977123736: Received UDP payload: 851
1310977123740: Received UDP payload: 1160
1310977123758: Received UDP payload: 851
1310977123775: Received UDP payload: 851
1310977123802: Received UDP payload: 1160
1310977123833: Received UDP payload: 851
1310977123847: Received UDP payload: 851
1310977123850: Received UDP payload: 1160
1310977123870: Received UDP payload: 851
1310977123878: Received UDP payload: 851
1310977123901: Received UDP payload: 1160
1310977123916: Received UDP payload: 698
1310977123924: Received UDP payload: 851
1310977123931: Received UDP payload: 851
1310977123949: Received UDP payload: 1160
1310977123967: Received UDP payload: 851
1310977123975: Received UDP payload: 851
1310977123993: Received UDP payload: 1160
1310977124011: Received UDP payload: 851
1310977124019: Received UDP payload: 851
1310977124039: Received UDP payload: 1160
1310977124057: Received UDP payload: 851
1310977124066: Received UDP payload: 851
1310977124086: Received UDP payload: 1160
1310977124104: Received UDP payload: 851
1310977124112: Received UDP payload: 851
1310977124130: Received UDP payload: 1160
1310977124146: Received UDP payload: 698
1310977124154: Received UDP payload: 851
1310977124163: Received UDP payload: 851
1310977124171: Received UDP payload: 851
1310977124181: Received UDP payload: 1160
1310977124213: Received UDP payload: 851
1310977124299: Received UDP payload: 698
1310977124338: Received UDP payload: 851
1310977124903: Received UDP payload: 698
1310977124944: Received UDP payload: 851
1310977125136: Received UDP payload: 851
1310977125273: Received UDP payload: 851
1310977125704: Received UDP payload: 698
1310977125736: Received UDP payload: 851
1310977125750: Received UDP payload: 851
1310977125919: Received UDP payload: 851
1310977125949: Received UDP payload: 851
1310977126358: Received UDP payload: 851
1310977126504: Received UDP payload: 698
1310977126561: Received UDP payload: 851
1310977126602: Received UDP payload: 851
1310977126607: Received UDP payload: 851
1310977126610: Received UDP payload: 881
1310977126614: Received UDP payload: 698
1310977126698: Received UDP payload: 9163
1310977126820: Received UDP payload: 698
1310977126823: Received UDP payload: 851
1310977126939: Received UDP payload: 851
1310977126977: Received UDP payload: 851
1310977127008: Received UDP payload: 698
1310977127211: Received UDP payload: 851
1310977127268: Received UDP payload: 698
1310977127577: Received UDP payload: 851
1310977127842: Received UDP payload: 470
1310977127927: UserClient request timed out. (0,0)=?
1310977127943: Reading spot in (1,1)
1310977127985: Sending UDP payload: 698
1310977128082: Received UDP payload: 9311
1310977128092: Received UDP payload: 698
1310977128125: Received UDP payload: 698
1310977128206: Received UDP payload: 851
1310977128235: Received UDP payload: 698
1310977128371: Received UDP payload: 698
1310977128625: Received UDP payload: 698
1310977128682: Received UDP payload: 851
1310977128792: Received UDP payload: 881
1310977128876: Received UDP payload: 698
1310977128948: Received UDP payload: 9718
1310977129103: Received UDP payload: 698
1310977129105: Received UDP payload: 698
1310977129127: Received UDP payload: 851
1310977129135: Received UDP payload: 851
1310977129138: Received UDP payload: 881
1310977129234: Received UDP payload: 698
1310977129283: Received UDP payload: 851
1310977129326: Received UDP payload: 698
1310977129338: Received UDP payload: 881
1310977129367: Received UDP payload: 851
1310977129381: Received UDP payload: 698
1310977129490: Received UDP payload: 10658
1310977129641: Received UDP payload: 851
1310977130398: Received UDP payload: 698
1310977130415: cloud accepted leadership request, returned csm bytes size 5492
1310977130470: Received UDP payload: 851
1310977130661: CSMLayer starting
1310977130669: UserServer started.
1310977130669: loaded csm data from cloud
1310977130734: Sending UDP payload: 5854
1310977130737: now fully up as LEADER
1310977130743: Sending UDP payload: 470
1310977130745: heard LEADER_REQUEST from node 5106, responding LEADER_REPLY
1310977130851: Sending UDP payload: 6438
1310977130853: heard LEADER_REQUEST from node 5106, responding LEADER_REPLY
1310977130886: Sending UDP payload: 5871
1310977130888: heard LEADER_REQUEST from node 5106, responding LEADER_REPLY
1310977130917: Sending UDP payload: 5871
1310977130957: Received UDP payload: 698
1310977131044: Received UDP payload: 851
1310977131102: Received UDP payload: 881
1310977131137: Received UDP payload: 698
1310977131276: Request timed out, send failure PROC_REPLY 2:3 (0,0)->(1,0)
1310977131291: Dispatching CSMOp PROC_REPLY 2:3 (0,0)->(1,0)
1310977131299: Received UDP payload: 11331
1310977131475: Sending UDP payload: 851
1310977131477: Received PROC_REPLY 2:3 (0,0)->(1,0), handing to UserServer
1310977131478: Procedure 2:3 on (0,0) timed out, sending failure reply to client
1310977131488: Received UDP payload: 851
1310977131488: Sending UDP payload: 698
1310977131492: Received UDP payload: 698
1310977131497: Received WRITE_UPDATE 37 (0,0)->(-2,-2)
1310977131500: Dispatching CSMOp WRITE_UPDATE_ACK 37 (1,0)->(0,0)
1310977131500: Applying write updates from (0,0), remote order = 7, write buffer contains [9, 10, 37]
1310977131501: Missing WRITE_UPDATE:7 from (0,0), requesting
1310977131501: Dispatching CSMOp WRITE_UPDATE_REQUEST 7 (1,0)->(0,0)
1310977131507: Received UDP payload: 851
1310977131512: Sending UDP payload: 851
1310977131514: Sending UDP payload: 851
1310977131515: Received UDP payload: 698
1310977131528: Received UDP payload: 881
1310977131573: Received UDP payload: 698
1310977131684: Received UDP payload: 11912
1310977131791: Received WRITE_UPDATE 38 (0,0)->(-2,-2)
1310977131791: Dispatching CSMOp WRITE_UPDATE_ACK 38 (1,0)->(0,0)
