1310976995487: started, mId = 5103
1310976995487: region (-1, -1) out of bounds, dormant
1310976995488: UserClient started
1310977007257: Received UDP payload: 698
1310977012300: Received UDP payload: 698
1310977012938: Received UDP payload: 470
1310977013535: Received UDP payload: 470
1310977014143: Received UDP payload: 470
1310977014836: Received UDP payload: 470
1310977015095: Received UDP payload: 470
1310977015419: Received UDP payload: 470
1310977015696: Received UDP payload: 470
1310977016034: Received UDP payload: 470
1310977016048: moving from region (-1,-1), to (0,0)
1310977016050: sending LEADER_REQUEST
1310977016056: Sending UDP payload: 470
1310977016062: UserClient received REGION_CHANGE message.
1310977016217: Received UDP payload: 470
1310977016287: Received UDP payload: 470
1310977016629: Received UDP payload: 470
1310977016650: sending LEADER_REQUEST
1310977016671: Sending UDP payload: 470
1310977016733: Received UDP payload: 698
1310977016788: Received UDP payload: 470
1310977016944: Received UDP payload: 470
1310977017207: Received UDP payload: 470
1310977017252: sending LEADER_REQUEST
1310977017284: Received UDP payload: 698
1310977017288: Sending UDP payload: 470
1310977017374: Received UDP payload: 470
1310977017481: Received UDP payload: 881
1310977017528: Received UDP payload: 470
1310977017554: Received UDP payload: 698
1310977017558: LEADER_REQUEST timed out
1310977017809: Received UDP payload: 11489
1310977018071: Received UDP payload: 470
1310977018073: Received UDP payload: 851
1310977018077: Received UDP payload: 12327
1310977018135: Received UDP payload: 11795
1310977018170: Received UDP payload: 470
1310977018250: Received UDP payload: 11795
1310977018350: Received UDP payload: 470
1310977018531: Reading spot in (1,0)
1310977018553: Sending UDP payload: 698
1310977018581: Received UDP payload: 11795
1310977018719: Received UDP payload: 12751
1310977018830: Received UDP payload: 851
1310977018872: Received UDP payload: 881
1310977018943: Received UDP payload: 11795
1310977018948: Received UDP payload: 470
1310977019164: Received UDP payload: 12511
1310977019342: Received UDP payload: 11795
1310977019346: Received UDP payload: 12353
1310977019349: Received UDP payload: 470
1310977019401: Received UDP payload: 12506
1310977019508: Received UDP payload: 11795
1310977019533: Received UDP payload: 851
1310977019536: Received UDP payload: 487
1310977019546: Received UDP payload: 470
1310977019552: Received UDP payload: 851
1310977019571: Received UDP payload: 470
1310977019591: Received UDP payload: 470
1310977019646: Received UDP payload: 698
1310977019726: Received UDP payload: 851
1310977019982: Received UDP payload: 11852
1310977020036: Received UDP payload: 487
1310977020244: Received UDP payload: 470
1310977020582: Received UDP payload: 470
1310977020606: Received UDP payload: 470
1310977020703: Received UDP payload: 470
1310977020808: Received UDP payload: 470
1310977021226: Received UDP payload: 698
1310977021271: Received UDP payload: 851
1310977021279: Received UDP payload: 470
1310977021282: Received UDP payload: 698
1310977021286: Received UDP payload: 470
1310977021378: Received UDP payload: 470
1310977021787: Received UDP payload: 698
1310977021792: Received UDP payload: 470
1310977021845: Received UDP payload: 470
1310977021974: Received UDP payload: 698
1310977022265: Received UDP payload: 698
1310977022337: Received UDP payload: 698
1310977022476: Received UDP payload: 851
1310977022615: Received UDP payload: 698
1310977023088: Received UDP payload: 851
1310977023543: UserClient request timed out. (1,0)=?
1310977023565: Requesting spot in (1,0)
1310977023605: Sending UDP payload: 698
1310977023727: Received UDP payload: 851
1310977023782: Received UDP payload: 698
1310977024620: Received UDP payload: 698
1310977025021: Received UDP payload: 470
1310977025619: Received UDP payload: 470
1310977025759: Received UDP payload: 698
1310977025787: Received UDP payload: 851
1310977026239: Received UDP payload: 470
1310977026258: Received UDP payload: 698
1310977026757: Received UDP payload: 851
1310977026824: Received UDP payload: 698
1310977027000: Received UDP payload: 698
1310977027326: Received UDP payload: 698
1310977027376: Received UDP payload: 698
1310977027383: Received UDP payload: 851
1310977027644: Received UDP payload: 698
1310977028023: Received UDP payload: 851
1310977028056: Received UDP payload: 698
1310977028088: Received UDP payload: 698
1310977028573: UserClient request timed out. (1,0)=?
1310977028592: Reading spot in (0,0)
1310977028633: Sending UDP payload: 698
1310977029048: Received UDP payload: 470
1310977029661: Received UDP payload: 698
1310977030067: Received UDP payload: 698
1310977030092: Received UDP payload: 851
1310977031103: Received UDP payload: 851
1310977031291: Received UDP payload: 698
1310977031727: Received UDP payload: 851
1310977031822: Received UDP payload: 698
