1310976821664: started, mId = 5103
1310976821665: region (-1, -1) out of bounds, dormant
1310976821666: UserClient started
1310976822240: Received UDP payload: 698
1310976822267: Received UDP payload: 851
1310976823247: Received UDP payload: 851
1310976823861: moving from region (-1,-1), to (0,0)
1310976823863: sending LEADER_REQUEST
1310976823875: Received UDP payload: 851
1310976823892: Sending UDP payload: 470
1310976823895: UserClient received REGION_CHANGE message.
1310976824303: Received UDP payload: 470
1310976824466: sending LEADER_REQUEST
1310976824495: Sending UDP payload: 470
1310976824504: Received UDP payload: 851
1310976824519: Received UDP payload: 698
1310976824871: Received UDP payload: 470
1310976825067: sending LEADER_REQUEST
1310976825092: Sending UDP payload: 470
1310976825377: LEADER_REQUEST timed out
1310976825501: Received UDP payload: 470
1310976826198: Reading spot in (0,0)
1310976826225: Sending UDP payload: 698
1310976826547: Received UDP payload: 698
1310976826597: Received UDP payload: 851
1310976827547: Received UDP payload: 851
1310976827598: Received UDP payload: 698
1310976827636: Received UDP payload: 698
1310976828185: Received UDP payload: 851
1310976828814: Received UDP payload: 851
1310976828858: Received UDP payload: 698
1310976828968: Received UDP payload: 698
1310976830016: Received UDP payload: 470
1310976830587: Received UDP payload: 470
1310976830662: Received UDP payload: 698
1310976830872: Received UDP payload: 698
1310976830914: Received UDP payload: 851
1310976830918: Received UDP payload: 851
1310976831199: Received UDP payload: 470
1310976831209: UserClient request timed out. (0,0)=?
1310976831218: Requesting spot in (0,1)
1310976831271: Received UDP payload: 470
1310976831276: Sending UDP payload: 698
1310976831532: Received UDP payload: 470
1310976831861: Received UDP payload: 851
1310976831898: Received UDP payload: 851
1310976831908: Received UDP payload: 470
1310976832474: Received UDP payload: 851
1310976832518: Received UDP payload: 470
1310976832520: Received UDP payload: 851
1310976832570: Received UDP payload: 698
1310976832634: Received UDP payload: 698
1310976833109: Received UDP payload: 851
1310976833149: Received UDP payload: 698
1310976833760: Received UDP payload: 470
1310976833909: Received UDP payload: 470
1310976833970: Received UDP payload: 470
1310976833998: Received UDP payload: 698
1310976834315: Received UDP payload: 470
1310976834411: Received UDP payload: 470
1310976834513: Received UDP payload: 470
1310976834941: Received UDP payload: 470
1310976835010: Received UDP payload: 470
1310976835122: Received UDP payload: 470
1310976835155: Received UDP payload: 698
1310976835195: Received UDP payload: 881
1310976835211: Received UDP payload: 698
1310976835586: Received UDP payload: 470
1310976835709: Received UDP payload: 698
1310976836042: Received UDP payload: 698
1310976836242: UserClient request timed out. (0,1)=?
1310976836258: Requesting spot in (1,0)
1310976836280: Sending UDP payload: 698
1310976837212: Received UDP payload: 698
1310976837246: Received UDP payload: 851
1310976837620: Received UDP payload: 698
1310976837714: Received UDP payload: 698
1310976838471: Received UDP payload: 470
1310976838529: Received UDP payload: 851
1310976838997: Received UDP payload: 698
1310976839101: Received UDP payload: 470
1310976839171: Received UDP payload: 470
1310976839323: Received UDP payload: 698
1310976839513: Received UDP payload: 470
1310976839758: Received UDP payload: 851
1310976839794: Received UDP payload: 698
1310976839861: Received UDP payload: 470
1310976840090: Received UDP payload: 470
1310976840366: Received UDP payload: 470
1310976840731: Received UDP payload: 470
1310976840757: Received UDP payload: 698
1310976841085: Received UDP payload: 698
1310976841270: UserClient request timed out. (1,0)=?
1310976841295: Reading spot in (0,1)
1310976841319: Sending UDP payload: 698
1310976841533: Received UDP payload: 470
1310976841575: Received UDP payload: 698
1310976841835: Received UDP payload: 698
1310976841862: Received UDP payload: 851
1310976841883: Received UDP payload: 881
1310976842602: Received UDP payload: 44441
