1310976779498: started, mId = 5102
1310976779498: region (-1, -1) out of bounds, dormant
1310976779499: UserClient started
1310976787583: Received UDP payload: 698
1310976792617: Received UDP payload: 698
1310976793401: Received UDP payload: 470
1310976794012: Received UDP payload: 470
1310976794445: Received UDP payload: 470
1310976794615: Received UDP payload: 470
1310976795037: Received UDP payload: 470
1310976795649: Received UDP payload: 470
1310976797609: Received UDP payload: 698
1310976797977: Received UDP payload: 470
1310976798148: Received UDP payload: 470
1310976798344: Received UDP payload: 470
1310976798577: Received UDP payload: 470
1310976798659: Received UDP payload: 851
1310976798702: Received UDP payload: 881
1310976798741: Received UDP payload: 470
1310976798931: Received UDP payload: 470
1310976798990: Received UDP payload: 12357
1310976799301: Received UDP payload: 12353
1310976799307: Received UDP payload: 11659
1310976799310: Received UDP payload: 11659
1310976799367: Received UDP payload: 470
1310976799419: Received UDP payload: 470
1310976799424: Received UDP payload: 470
1310976799445: moving from region (-1,-1), to (0,0)
1310976799446: sending LEADER_REQUEST
1310976799495: Sending UDP payload: 470
1310976799507: UserClient received REGION_CHANGE message.
1310976799722: Received UDP payload: 11659
1310976799746: heard LEADER_REPLY from 5108
1310976799748: now NONLEADER following LEADER 5108
1310976799761: Received UDP payload: 698
1310976799979: Received UDP payload: 470
1310976800003: Received UDP payload: 470
1310976800273: Received UDP payload: 698
1310976800579: Received UDP payload: 470
1310976800600: Received UDP payload: 470
1310976800638: Received UDP payload: 698
1310976800701: Received UDP payload: 851
1310976800763: Received UDP payload: 698
1310976800981: Received UDP payload: 470
1310976800999: Received UDP payload: 470
1310976801212: Received UDP payload: 11686
1310976801334: Received UDP payload: 851
1310976801351: Received UDP payload: 881
1310976801701: Received UDP payload: 11489
1310976801923: Received UDP payload: 11642
1310976801925: Received UDP payload: 851
1310976802157: Received UDP payload: 470
1310976802655: Received UDP payload: 698
1310976802686: Received UDP payload: 698
1310976802698: Received UDP payload: 851
1310976802701: Received UDP payload: 698
1310976802744: Received UDP payload: 698
1310976802759: Received UDP payload: 851
1310976802804: Received UDP payload: 881
1310976802860: Received UDP payload: 698
1310976803025: Received UDP payload: 12161
1310976803276: Received UDP payload: 851
1310976803378: Received UDP payload: 851
1310976803426: Received UDP payload: 881
1310976803722: Received UDP payload: 11489
1310976803911: Received UDP payload: 11736
1310976803914: Received UDP payload: 698
1310976803917: Received UDP payload: 851
1310976803921: Received UDP payload: 881
1310976803963: Received UDP payload: 12079
1310976804158: Received UDP payload: 698
1310976804163: Received UDP payload: 851
1310976804168: Received UDP payload: 851
1310976804215: Received UDP payload: 851
1310976804224: Requesting spot in (1,1)
1310976804244: Sending UDP payload: 698
1310976804245: Received UDP payload: 851
1310976804266: Received UDP payload: 851
1310976804286: Received UDP payload: 881
1310976804301: Received UDP payload: 698
1310976804308: UserClient decrement on (1,1) from (0,0) succeeded, value=18,latency=83
1310976804492: Received UDP payload: 470
1310976804519: Received UDP payload: 12786
1310976804746: Received UDP payload: 851
1310976804757: Received UDP payload: 698
1310976804773: Received UDP payload: 851
1310976804794: Received UDP payload: 881
1310976804910: Received UDP payload: 11836
1310976804952: Received UDP payload: 698
1310976804977: Received UDP payload: 851
1310976805011: Received UDP payload: 881
1310976805026: Received UDP payload: 698
1310976805078: Received UDP payload: 698
1310976805103: Received UDP payload: 12638
1310976805319: Received UDP payload: 698
1310976805330: Received UDP payload: 851
1310976805341: Received UDP payload: 851
1310976805364: Received UDP payload: 698
1310976805380: Received UDP payload: 851
1310976805394: Received UDP payload: 698
1310976805411: Received UDP payload: 881
1310976805433: Received UDP payload: 851
1310976805452: Received UDP payload: 881
1310976805474: Received UDP payload: 698
1310976805477: Received UDP payload: 698
1310976805692: Received UDP payload: 12478
1310976805890: Received UDP payload: 698
1310976805901: Received UDP payload: 851
1310976805904: Received UDP payload: 698
1310976805954: Received UDP payload: 698
1310976805974: Received UDP payload: 881
1310976805981: Received UDP payload: 698
1310976805989: Received UDP payload: 851
1310976806006: Received UDP payload: 881
1310976806028: Received UDP payload: 698
1310976806226: Received UDP payload: 13399
1310976806309: Reading spot in (1,0)
1310976806453: Received UDP payload: 851
1310976806461: Received UDP payload: 851
1310976806462: Sending UDP payload: 698
1310976806501: Received UDP payload: 881
1310976806507: Received UDP payload: 698
1310976806511: UserClient read on (1,0) from (0,0)succeeded, value=17,latency=200
1310976806900: Received UDP payload: 698
1310976806927: Received UDP payload: 851
1310976807001: Received UDP payload: 881
1310976807062: Received UDP payload: 698
1310976807210: Received UDP payload: 13949
1310976807440: Received UDP payload: 698
1310976807459: Received UDP payload: 851
1310976807480: Received UDP payload: 851
1310976807490: Received UDP payload: 851
1310976807505: Received UDP payload: 851
1310976807528: Received UDP payload: 881
1310976807667: Received UDP payload: 698
1310976807866: Received UDP payload: 698
1310976807952: Received UDP payload: 26047
1310976808401: Received UDP payload: 851
1310976808406: Received UDP payload: 698
1310976808410: Received UDP payload: 851
1310976808413: Received UDP payload: 881
1310976808416: Received UDP payload: 698
1310976808418: Received UDP payload: 28011
1310976808512: Releasing ticket in (1,1)
1310976808777: Received UDP payload: 698
1310976808778: Sending UDP payload: 698
1310976808781: Received UDP payload: 698
1310976808784: Received UDP payload: 851
1310976808787: Received UDP payload: 881
1310976808789: Received UDP payload: 851
1310976808792: Received UDP payload: 698
1310976808794: Received UDP payload: 881
1310976808797: Received UDP payload: 698
1310976808800: Received UDP payload: 698
1310976808802: Received UDP payload: 881
1310976808941: Received UDP payload: 698
1310976808975: Received UDP payload: 851
1310976809000: Received UDP payload: 851
1310976809026: Received UDP payload: 851
1310976809035: Received UDP payload: 881
1310976809108: Received UDP payload: 470
1310976809380: Received UDP payload: 851
1310976809422: Received UDP payload: 851
1310976809430: Received UDP payload: 470
1310976809436: Received UDP payload: 698
1310976809445: Received UDP payload: 851
1310976809453: Received UDP payload: 851
1310976809496: Received UDP payload: 851
1310976809517: Received UDP payload: 851
1310976809556: Received UDP payload: 470
1310976809604: Received UDP payload: 881
1310976810605: Received UDP payload: 698
1310976810633: Received UDP payload: 698
1310976810648: Received UDP payload: 698
1310976810651: Received UDP payload: 881
1310976810653: Received UDP payload: 698
1310976810659: Received UDP payload: 698
1310976810698: Received UDP payload: 470
1310976810728: Received UDP payload: 851
1310976810748: Received UDP payload: 698
1310976810775: Received UDP payload: 851
1310976810777: Received UDP payload: 851
1310976810780: Received UDP payload: 881
1310976810783: Received UDP payload: 881
1310976810789: Received UDP payload: 698
1310976811070: Received UDP payload: 27413
1310976811814: Received UDP payload: 698
1310976811845: Received UDP payload: 851
1310976811859: Received UDP payload: 851
1310976811862: Received UDP payload: 698
1310976811865: Received UDP payload: 881
1310976812096: Received UDP payload: 851
1310976812516: Received UDP payload: 698
1310976812541: UserClient increment on (1,1) from (0,0) succeeded, value=20,latency=4028
1310976812553: Received UDP payload: 698
1310976812571: Received UDP payload: 881
1310976813050: Received UDP payload: 851
1310976813085: Received UDP payload: 881
1310976813168: Received UDP payload: 698
1310976813538: Received UDP payload: 698
1310976813662: Received UDP payload: 470
1310976813737: Received UDP payload: 851
1310976813776: Received UDP payload: 698
1310976813803: Received UDP payload: 851
1310976813806: Received UDP payload: 851
1310976813808: Received UDP payload: 851
1310976813850: Received UDP payload: 881
1310976813869: Received UDP payload: 698
1310976813947: Received UDP payload: 881
1310976813991: Received UDP payload: 851
1310976813994: Received UDP payload: 698
1310976813996: Received UDP payload: 698
1310976813999: Received UDP payload: 851
1310976814001: Received UDP payload: 698
1310976814003: Received UDP payload: 851
1310976814008: Received UDP payload: 881
1310976814027: Received UDP payload: 470
1310976814034: Received UDP payload: 698
1310976814039: Received UDP payload: 470
1310976814082: Received UDP payload: 470
1310976814550: Requesting spot in (1,1)
1310976814598: Sending UDP payload: 698
1310976814667: Received UDP payload: 698
1310976814676: Received UDP payload: 881
1310976814697: Received UDP payload: 851
1310976814710: Received UDP payload: 698
1310976814720: Received UDP payload: 881
1310976815156: Received UDP payload: 27547
1310976815312: Received UDP payload: 698
1310976815736: Received UDP payload: 881
1310976815750: Received UDP payload: 698
1310976815909: Received UDP payload: 698
1310976815935: Received UDP payload: 698
1310976815959: Received UDP payload: 851
1310976815968: Received UDP payload: 881
1310976815971: Received UDP payload: 698
1310976815974: Received UDP payload: 881
1310976815976: Received UDP payload: 698
1310976816071: Received UDP payload: 698
1310976816146: Received UDP payload: 881
1310976816172: Received UDP payload: 698
1310976816198: Received UDP payload: 851
1310976816207: Received UDP payload: 851
1310976816226: Received UDP payload: 881
1310976816239: Received UDP payload: 698
1310976816241: UserClient decrement on (1,1) from (0,0) succeeded, value=18,latency=1685
1310976816259: Received UDP payload: 698
1310976816293: Received UDP payload: 851
1310976816300: Received UDP payload: 698
1310976816770: Received UDP payload: 698
1310976816833: Received UDP payload: 698
1310976816859: Received UDP payload: 851
1310976816891: Received UDP payload: 851
1310976816905: Received UDP payload: 881
1310976816908: Received UDP payload: 881
1310976816911: Received UDP payload: 698
1310976816914: Received UDP payload: 881
1310976816926: Received UDP payload: 698
1310976817526: Received UDP payload: 42341
1310976818243: Releasing ticket in (1,1)
1310976818250: Sending UDP payload: 698
