1310683528226: started, mId = 5109
1310683528227: region (-1, -1) out of bounds, dormant
1310683528246: UserClient started
1310683529360: Received UDP payload: 470
1310683535358: Received UDP payload: 470
1310683535947: Received UDP payload: 470
1310683536543: Received UDP payload: 470
1310683539700: Received UDP payload: 5059
1310683539748: Received UDP payload: 470
1310683541721: Received UDP payload: 470
1310683543301: Received UDP payload: 470
1310683543430: Received UDP payload: 5076
1310683543686: Received UDP payload: 470
1310683544389: Received UDP payload: 470
1310683544987: Received UDP payload: 470
1310683545605: Received UDP payload: 470
1310683545731: Received UDP payload: 470
1310683547693: Received UDP payload: 470
1310683548612: Received UDP payload: 851
1310683548659: Received UDP payload: 881
1310683549002: Received UDP payload: 9933
1310683549250: Received UDP payload: 10086
1310683549252: Received UDP payload: 470
1310683549715: Received UDP payload: 470
1310683550908: Received UDP payload: 470
1310683551693: Received UDP payload: 470
1310683552908: Received UDP payload: 470
1310683553692: Received UDP payload: 470
1310683554907: Received UDP payload: 470
1310683555683: Received UDP payload: 470
1310683556912: Received UDP payload: 470
1310683557700: Received UDP payload: 470
1310683558909: Received UDP payload: 470
1310683559720: Received UDP payload: 470
1310683560910: Received UDP payload: 470
1310683561706: Received UDP payload: 470
1310683562911: Received UDP payload: 470
1310683563706: Received UDP payload: 470
1310683564912: Received UDP payload: 470
1310683565708: Received UDP payload: 470
1310683566913: Received UDP payload: 470
1310683567713: Received UDP payload: 470
1310683568805: Received UDP payload: 698
1310683568848: Received UDP payload: 851
1310683568869: Received UDP payload: 881
1310683568884: Received UDP payload: 698
1310683568894: Received UDP payload: 1158
1310683568928: Received UDP payload: 470
1310683569712: Received UDP payload: 470
1310683570916: Received UDP payload: 470
1310683571711: Received UDP payload: 470
1310683572918: Received UDP payload: 470
1310683573713: Received UDP payload: 470
1310683574916: Received UDP payload: 470
1310683575718: Received UDP payload: 470
1310683576917: Received UDP payload: 470
1310683577723: Received UDP payload: 470
1310683578917: Received UDP payload: 470
1310683579728: Received UDP payload: 470
1310683580917: Received UDP payload: 470
1310683581739: Received UDP payload: 470
1310683582917: Received UDP payload: 470
1310683583742: Received UDP payload: 470
1310683584917: Received UDP payload: 470
1310683585742: Received UDP payload: 470
1310683586917: Received UDP payload: 470
1310683587737: Received UDP payload: 470
1310683588918: Received UDP payload: 470
1310683589659: Received UDP payload: 698
1310683589700: Received UDP payload: 851
1310683589715: Received UDP payload: 881
1310683589732: Received UDP payload: 1158
1310683589741: Received UDP payload: 698
1310683589747: Received UDP payload: 470
1310683590917: Received UDP payload: 470
1310683591739: Received UDP payload: 470
1310683592917: Received UDP payload: 470
1310683593745: Received UDP payload: 470
1310683594918: Received UDP payload: 470
1310683595758: Received UDP payload: 470
1310683595951: Received UDP payload: 698
