1310973321826: *** Opened log file for writing ***
1310973321826: *** Application started ***
1310973326239: Moved to region (0,0)
1310973347159: Moved to region (0,1)
1310973393893: Moved to region (0,0)
1310973396311: Requesting ticket in (0,0)
1310973400104: Ticket request succeeded, value=18,latency=3781
1310973402143: Releasing ticket in (0,0)
1310973403344: Ticket release succeeded, value=19,latency=1193
1310973417540: Moved to region (1,1)
1310973421022: Requesting ticket in (1,1)
1310973423329: Ticket request succeeded, value=19,latency=2295
1310973432792: Moved to region (1,1)
1310973434926: Releasing ticket in (1,1)
1310973437400: Wait for previous action to complete.
1310973438650: Wait for previous action to complete.
1310973441382: Ticket release succeeded, value=20,latency=6450
1310973486468: Moved to region (0,0)
1310973488471: Requesting ticket in (0,0)
1310973490753: Ticket request succeeded, value=18,latency=2272
1310973497101: Releasing ticket in (0,0)
1310973498791: Ticket release succeeded, value=18,latency=1680
1310973509055: Moved to region (1,1)
1310973519880: Moved to region (0,1)
1310973523006: Requesting ticket in (0,1)
1310973526238: Ticket request succeeded, value=17,latency=3197
1310973531766: Releasing ticket in (0,1)
1310973535446: Ticket release succeeded, value=19,latency=3636
1310973538506: Moved to region (1,1)
1310973541421: Requesting ticket in (1,1)
1310973556424: Ticket request succeeded, value=18,latency=14993
1310973559446: Releasing ticket in (1,1)
1310973562202: Ticket release succeeded, value=19,latency=2712
1310973569476: Moved to region (1,0)
1310973571613: Requesting ticket in (1,0)
1310973575289: Ticket request succeeded, value=18,latency=3663
1310973593548: Releasing ticket in (1,0)
1310973596395: Ticket release succeeded, value=19,latency=2837
1310973600129: Moved to region (1,1)
1310973605731: Requesting ticket in (1,1)
1310973609954: Ticket request succeeded, value=17,latency=4215
1310973612457: Releasing ticket in (1,1)
1310973614659: Ticket release succeeded, value=19,latency=2193
1310973626481: Moved to region (0,0)
1310973637161: Requesting ticket in (0,0)
1310973639385: Ticket request succeeded, value=18,latency=2195
1310973643600: Releasing ticket in (0,0)
1310973650654: Ticket release succeeded, value=19,latency=7044
1310973653012: Moved to region (0,1)
1310973656266: Requesting ticket in (0,1)
1310973658119: Ticket request succeeded, value=18,latency=1828
1310973662721: Releasing ticket in (0,1)
1310973684675: Ticket release succeeded, value=19,latency=21953
1310973685584: Moved to region (1,1)
1310973687411: Requesting ticket in (1,1)
1310973720701: Ticket request succeeded, value=16,latency=33278
1310973723201: Releasing ticket in (1,1)
1310973728127: Ticket release succeeded, value=19,latency=4889
1310973731921: Moved to region (0,0)
1310973734031: Requesting ticket in (0,0)
1310973737059: Ticket request succeeded, value=19,latency=3018
1310973742264: Releasing ticket in (0,0)
1310973746596: Ticket release succeeded, value=20,latency=4296
1310973767090: Moved to region (0,0)
1310973771013: Requesting ticket in (0,0)
1310973773530: Ticket request succeeded, value=19,latency=2465
1310973776536: Releasing ticket in (0,0)
1310973780259: Ticket release succeeded, value=19,latency=3713
1310973806674: Requesting ticket in (0,0)
1310973813061: Ticket request succeeded, value=18,latency=6374
1310973816558: Releasing ticket in (0,0)
1310973816952: Ticket release succeeded, value=19,latency=354
1310973837716: Moved to region (0,1)
1310973843269: Requesting ticket in (0,1)
1310973875144: Ticket request succeeded, value=18,latency=31861
1310973877782: Releasing ticket in (0,1)
1310973878101: Ticket release succeeded, value=19,latency=306
1310973884919: Moved to region (1,1)
1310973892230: Requesting ticket in (1,1)
1310973894563: Ticket request succeeded, value=19,latency=2324
1310973898376: Releasing ticket in (1,1)
1310973899828: Ticket release succeeded, value=19,latency=1442
1310973909849: Moved to region (1,0)
1310973912140: Requesting ticket in (1,0)
1310973918819: Ticket request succeeded, value=19,latency=6643
1310973920076: Releasing ticket in (1,0)
1310973922869: Ticket release succeeded, value=19,latency=2783
1310973943468: Requesting ticket in (1,0)
1310973946893: Ticket request succeeded, value=18,latency=3396
1310973955251: Releasing ticket in (1,0)
1310973958895: Ticket release succeeded, value=19,latency=3591
1310973961668: Moved to region (0,0)
1310973965401: Requesting ticket in (0,0)
1310973966674: Ticket request succeeded, value=19,latency=1265
1310973971123: Releasing ticket in (0,0)
1310973973689: Ticket release succeeded, value=20,latency=2553
1310973978207: Moved to region (0,1)
1310973979957: Requesting ticket in (0,1)
1310973982728: Ticket request succeeded, value=18,latency=2735
1310973991292: Releasing ticket in (0,1)
1310973997016: Ticket release succeeded, value=19,latency=5716
