1310690987723: *** Opened log file for writing ***
1310690987723: *** Application started ***
1310691022039: Requesting spot in (1,0)
1310691022817: Reading spot in (1,0)
1310691023116: Reading spot in (1,0)
1310691023406: Reading spot in (1,0)
1310691023676: Reading spot in (1,0)
1310691024053: Reading spot in (0,0)
1310691024526: Reading spot in (1,0)
1310691024850: Reading spot in (0,0)
1310691025087: Parking request succeeded, spots=19,latency=3029
1310691025100: Parking read succeeded, spots=20,latency=1381
1310691025118: Parking read succeeded, spots=20,latency=1941
1310691025131: Parking read succeeded, spots=19,latency=2295
1310691025145: Parking read succeeded, spots=19,latency=1704
1310691025321: Parking read succeeded, spots=20,latency=213
1310691025373: Parking read succeeded, spots=20,latency=244
1310691025385: Parking read succeeded, spots=19,latency=256
1310691029616: Reading spot in (1,0)
1310691033123: Releasing spot in (1,0)
1310691037077: Parking read succeeded, spots=19,latency=7452
1310691037309: Parking release succeeded, spots=20,latency=4178
1310691039916: You are not holding a spot!
1310691043480: You are not holding a spot!
1310691047419: Requesting spot in (0,0)
1310691049301: Parking request succeeded, spots=19,latency=1848
1310691078569: Reading spot in (1,0)
1310691078944: Reading spot in (1,0)
1310691081618: Parking read succeeded, spots=20,latency=3045
1310691081645: Parking read succeeded, spots=20,latency=2654
1310691360448: Reading spot in (0,0)
1310691361476: Reading spot in (0,0)
1310691363156: Parking read succeeded, spots=18,latency=2697
1310691363244: Parking read succeeded, spots=18,latency=1693
1310691369837: Reading spot in (1,0)
1310691370784: Reading spot in (1,0)
1310691371647: Reading spot in (1,0)
1310691372496: Reading spot in (1,0)
1310691373412: Parking read succeeded, spots=20,latency=3542
1310691373467: Parking read succeeded, spots=20,latency=1808
1310691373481: Parking read succeeded, spots=20,latency=2660
1310691373512: Parking read succeeded, spots=20,latency=1005
1310691425129: Reading spot in (1,0)
1310691428451: Parking read succeeded, spots=19,latency=3315
1310691637516: Releasing spot in (0,0)
1310691641382: Parking release succeeded, spots=19,latency=3812
1310691642642: You are not holding a spot!
1310691830973: You are not holding a spot!
1310692143682: You are not holding a spot!
1310692145184: You are not holding a spot!
1310692148335: Requesting spot in (1,0)
1310692152019: Parking request succeeded, spots=17,latency=3666
1310692161936: Reading spot in (1,0)
1310692163432: Parking read succeeded, spots=17,latency=1440
1310692164858: Reading spot in (1,0)
1310692167429: Parking read succeeded, spots=16,latency=2527
1310692167704: Reading spot in (1,0)
1310692168281: Parking read succeeded, spots=16,latency=567
1310692177404: Reading spot in (1,0)
1310692178886: Reading spot in (1,0)
1310692191644: Reading spot in (1,0)
1310692194614: Parking read succeeded, spots=15,latency=15693
1310692194626: Parking read succeeded, spots=15,latency=17211
1310692196790: Parking read succeeded, spots=15,latency=5135
1310692200605: Reading spot in (1,0)
1310692202937: Parking read succeeded, spots=15,latency=2305
1310692209972: Reading spot in (1,0)
