1310975218064: started, mId = 5105
1310975218064: region (-1, -1) out of bounds, dormant
1310975218065: UserClient started
1310975229758: Received UDP payload: 698
1310975229937: Received UDP payload: 470
1310975230382: Received UDP payload: 470
1310975230527: Received UDP payload: 470
1310975230986: Received UDP payload: 470
1310975231127: Received UDP payload: 470
1310975231592: Received UDP payload: 470
1310975231892: Received UDP payload: 470
1310975232491: Received UDP payload: 470
1310975233118: Received UDP payload: 470
1310975233824: Received UDP payload: 851
1310975233857: Received UDP payload: 881
1310975234003: Received UDP payload: 11046
1310975234763: Received UDP payload: 698
1310975234783: Received UDP payload: 851
1310975234886: Received UDP payload: 698
1310975234951: Received UDP payload: 470
1310975234970: Received UDP payload: 851
1310975235528: Received UDP payload: 470
1310975235667: Received UDP payload: 851
1310975235881: Received UDP payload: 470
1310975236141: Received UDP payload: 470
1310975236306: Received UDP payload: 470
1310975236315: Received UDP payload: 851
1310975236338: Received UDP payload: 851
1310975236439: Received UDP payload: 470
1310975236787: Received UDP payload: 470
1310975236895: Received UDP payload: 470
1310975236957: Received UDP payload: 851
1310975236982: Received UDP payload: 851
1310975237002: moving from region (-1,-1), to (0,0)
1310975237002: sending LEADER_REQUEST
1310975237007: Received UDP payload: 698
1310975237012: Sending UDP payload: 470
1310975237022: UserClient received REGION_CHANGE message.
1310975237037: Received UDP payload: 470
1310975237486: Received UDP payload: 470
1310975237592: Received UDP payload: 851
1310975237600: Received UDP payload: 698
1310975237603: sending LEADER_REQUEST
1310975237626: Sending UDP payload: 470
1310975238208: sending LEADER_REQUEST
1310975238216: Sending UDP payload: 470
1310975238505: LEADER_REQUEST timed out
1310975238999: Received UDP payload: 698
1310975239020: Received UDP payload: 851
1310975239045: Received UDP payload: 881
1310975239047: Received UDP payload: 698
1310975239537: Received UDP payload: 851
1310975239562: Received UDP payload: 881
1310975239677: Received UDP payload: 698
1310975239736: Received UDP payload: 11046
1310975239739: Reading spot in (1,1)
1310975239744: Sending UDP payload: 698
1310975239745: Received UDP payload: 851
1310975239814: Received UDP payload: 881
1310975239862: Received UDP payload: 851
1310975239882: Received UDP payload: 698
1310975239992: Received UDP payload: 11063
1310975240187: Received UDP payload: 11199
1310975240776: Received UDP payload: 851
1310975240883: Received UDP payload: 698
1310975240984: Received UDP payload: 851
1310975241062: Received UDP payload: 698
1310975241093: Received UDP payload: 851
1310975241167: Received UDP payload: 698
1310975241274: Received UDP payload: 851
1310975241330: Received UDP payload: 881
1310975241344: Received UDP payload: 698
1310975241369: Received UDP payload: 851
1310975241484: cloud rejected leadership request or request failed, wait to retry
1310975241490: heard LEADER_REPLY from 5106
1310975241494: now NONLEADER following LEADER 5106
1310975241497: Received UDP payload: 470
1310975241707: Received UDP payload: 698
1310975241849: Received UDP payload: 851
1310975241951: Received UDP payload: 698
1310975242007: Received UDP payload: 851
1310975242033: Received UDP payload: 851
1310975242053: Received UDP payload: 698
1310975242055: UserClient read on (1,1) failed, value=?,latency=2315
1310975242064: Received UDP payload: 851
1310975242074: Received UDP payload: 470
1310975242483: Received UDP payload: 851
1310975242653: Received UDP payload: 851
1310975243130: Received UDP payload: 851
1310975243154: Received UDP payload: 851
1310975243288: Received UDP payload: 851
1310975243325: Received UDP payload: 698
1310975243426: Received UDP payload: 698
1310975243502: Received UDP payload: 851
1310975243526: Received UDP payload: 851
1310975243777: Received UDP payload: 851
1310975243802: Received UDP payload: 698
1310975243818: Received UDP payload: 851
1310975244057: Requesting spot in (1,1)
1310975244058: Sending UDP payload: 698
1310975244122: Received UDP payload: 851
1310975244428: Received UDP payload: 851
1310975244452: Received UDP payload: 698
1310975244492: Received UDP payload: 851
1310975244516: Received UDP payload: 851
1310975244865: Received UDP payload: 698
1310975244893: Received UDP payload: 851
1310975245150: Received UDP payload: 851
1310975245157: Received UDP payload: 851
1310975245165: Received UDP payload: 851
1310975245403: Received UDP payload: 698
1310975245458: Received UDP payload: 851
1310975245516: Received UDP payload: 881
1310975245540: Received UDP payload: 698
1310975245722: Received UDP payload: 470
1310975245810: Received UDP payload: 851
1310975245836: Received UDP payload: 851
1310975245854: Received UDP payload: 851
1310975245856: Received UDP payload: 698
1310975245858: Received UDP payload: 698
1310975245919: Received UDP payload: 851
1310975246466: Received UDP payload: 851
1310975246493: Received UDP payload: 851
1310975246514: Received UDP payload: 698
1310975246516: UserClient decrement on (1,1) failed, value=?,latency=2459
