1310975648422: started, mId = 5101
1310975648422: region (-1, -1) out of bounds, dormant
1310975648449: UserClient started
1310975672564: Received UDP payload: 698
1310975677572: Received UDP payload: 698
1310975681184: Received UDP payload: 470
1310975681780: Received UDP payload: 470
1310975682386: Received UDP payload: 470
1310975682584: Received UDP payload: 698
1310975682657: Received UDP payload: 470
1310975683233: Received UDP payload: 470
1310975683844: Received UDP payload: 470
1310975686985: Received UDP payload: 851
1310975687025: Received UDP payload: 881
1310975687233: Received UDP payload: 11757
1310975687612: Received UDP payload: 698
1310975687684: Received UDP payload: 851
1310975688839: Received UDP payload: 851
1310975689223: Received UDP payload: 470
1310975689360: Received UDP payload: 470
1310975689432: Received UDP payload: 11199
1310975689547: Received UDP payload: 11199
1310975689565: Received UDP payload: 851
1310975689615: Received UDP payload: 698
1310975689674: Received UDP payload: 851
1310975690006: Received UDP payload: 470
1310975690105: Received UDP payload: 851
1310975690127: Received UDP payload: 698
1310975690528: Received UDP payload: 470
1310975690584: Received UDP payload: 470
1310975690731: Received UDP payload: 11222
1310975690751: Received UDP payload: 851
1310975690801: Received UDP payload: 470
1310975690806: moving from region (-1,-1), to (0,0)
1310975690806: sending LEADER_REQUEST
1310975690812: Sending UDP payload: 470
1310975690817: UserClient received REGION_CHANGE message.
1310975691098: Received UDP payload: 11222
1310975691115: heard LEADER_REPLY from 5107
1310975691129: now NONLEADER following LEADER 5107
1310975691183: Received UDP payload: 470
1310975691346: Received UDP payload: 851
1310975691975: Received UDP payload: 851
1310975691998: Received UDP payload: 698
1310975692171: Received UDP payload: 698
1310975692192: Received UDP payload: 851
1310975693170: Requesting spot in (1,0)
1310975693185: Sending UDP payload: 698
1310975693211: Received UDP payload: 851
1310975693219: Received UDP payload: 851
1310975693346: Received UDP payload: 698
1310975693392: Received UDP payload: 470
1310975693408: Received UDP payload: 851
1310975693432: Received UDP payload: 881
1310975693436: Received UDP payload: 698
1310975693510: Received UDP payload: 470
1310975693727: Received UDP payload: 11344
1310975693798: Received UDP payload: 851
1310975693829: Received UDP payload: 881
1310975693851: Received UDP payload: 851
1310975693990: Received UDP payload: 470
1310975694007: Received UDP payload: 11046
1310975694490: Received UDP payload: 851
1310975694516: Received UDP payload: 851
1310975694536: Received UDP payload: 698
1310975694551: Received UDP payload: 698
1310975694565: Received UDP payload: 851
1310975694574: Received UDP payload: 881
1310975694581: Received UDP payload: 698
1310975694601: Received UDP payload: 698
1310975694658: Received UDP payload: 851
1310975694677: Received UDP payload: 881
1310975694700: Received UDP payload: 698
1310975694786: Received UDP payload: 470
1310975694827: Received UDP payload: 470
1310975695147: Received UDP payload: 851
1310975695171: Received UDP payload: 470
1310975695442: Received UDP payload: 470
1310975695480: Received UDP payload: 698
1310975695741: Received UDP payload: 470
1310975695762: Received UDP payload: 698
1310975696040: Received UDP payload: 470
1310975696347: Received UDP payload: 470
1310975696629: Received UDP payload: 698
1310975696721: Received UDP payload: 698
1310975697205: Received UDP payload: 698
1310975697648: Received UDP payload: 470
1310975698179: UserClient request timed out. (1,0)=?
1310975698181: Reading spot in (1,1)
1310975698237: Received UDP payload: 470
1310975698250: Sending UDP payload: 698
1310975698456: sending LEADER_REQUEST
1310975698464: Sending UDP payload: 470
1310975698706: Received UDP payload: 851
1310975698730: Received UDP payload: 881
1310975698828: Received UDP payload: 470
1310975699058: sending LEADER_REQUEST
1310975699076: Sending UDP payload: 470
1310975699666: sending LEADER_REQUEST
1310975699674: Sending UDP payload: 470
1310975699955: LEADER_REQUEST timed out
1310975700474: Received UDP payload: 698
1310975700766: Received UDP payload: 698
1310975700831: Received UDP payload: 851
1310975700855: Received UDP payload: 881
1310975700875: Received UDP payload: 698
1310975701654: Received UDP payload: 698
1310975701743: Received UDP payload: 698
1310975702227: Received UDP payload: 698
1310975702386: cloud rejected leadership request or request failed, wait to retry
1310975702893: Received UDP payload: 698
1310975702917: Received UDP payload: 851
1310975702943: Received UDP payload: 881
1310975702965: Received UDP payload: 698
1310975703188: UserClient request timed out. (1,1)=?
1310975703202: Requesting spot in (0,0)
1310975703213: Sending UDP payload: 698
1310975703436: Received UDP payload: 470
1310975704028: Received UDP payload: 470
1310975704227: Received UDP payload: 470
1310975704300: Received UDP payload: 698
1310975704319: Received UDP payload: 851
1310975704375: Received UDP payload: 881
1310975704465: Received UDP payload: 11181
1310975704483: Received UDP payload: 698
1310975704632: Received UDP payload: 470
1310975704797: Received UDP payload: 470
1310975704945: Received UDP payload: 698
1310975705020: Received UDP payload: 851
1310975705502: Received UDP payload: 698
1310975705947: Received UDP payload: 851
1310975706191: Received UDP payload: 470
1310975706396: Received UDP payload: 698
1310975706416: Received UDP payload: 851
1310975706527: Received UDP payload: 851
1310975706674: Received UDP payload: 698
1310975706766: Received UDP payload: 698
1310975707166: Received UDP payload: 851
1310975707191: Received UDP payload: 851
1310975707208: Received UDP payload: 698
1310975707228: Received UDP payload: 698
1310975707246: Received UDP payload: 851
1310975707263: Received UDP payload: 881
1310975707426: Received UDP payload: 11046
1310975707768: Received UDP payload: 851
1310975708210: UserClient request timed out. (0,0)=?
1310975708217: Requesting spot in (0,0)
1310975708236: Sending UDP payload: 698
1310975708283: Received UDP payload: 470
1310975708402: Received UDP payload: 851
1310975709027: Received UDP payload: 851
1310975709051: Received UDP payload: 698
1310975709252: Received UDP payload: 698
1310975709365: Received UDP payload: 851
1310975710275: Received UDP payload: 851
1310975710519: Received UDP payload: 698
1310975710876: Received UDP payload: 851
1310975711073: Received UDP payload: 698
1310975711140: Received UDP payload: 851
1310975711484: Received UDP payload: 851
1310975711509: Received UDP payload: 698
1310975711696: Received UDP payload: 698
1310975711788: Received UDP payload: 698
1310975712129: Received UDP payload: 851
1310975712249: Received UDP payload: 698
1310975712270: Received UDP payload: 851
1310975712293: Received UDP payload: 470
1310975712331: Received UDP payload: 881
1310975712344: Received UDP payload: 698
1310975712395: been in JOINING state for a while now, start over
1310975712395: sending LEADER_REQUEST
1310975712399: Sending UDP payload: 470
1310975712747: Received UDP payload: 851
1310975712901: Received UDP payload: 470
1310975712996: sending LEADER_REQUEST
1310975713013: Sending UDP payload: 470
1310975713229: UserClient request timed out. (0,0)=?
1310975713233: Requesting spot in (1,0)
1310975713282: Sending UDP payload: 698
1310975713377: Received UDP payload: 851
1310975713405: Received UDP payload: 698
1310975713505: Received UDP payload: 470
1310975713573: Received UDP payload: 698
1310975713598: sending LEADER_REQUEST
1310975713618: Sending UDP payload: 470
1310975713643: Received UDP payload: 851
1310975713668: Received UDP payload: 881
1310975713672: Received UDP payload: 698
1310975713890: Received UDP payload: 470
1310975713897: LEADER_REQUEST timed out
1310975714085: Received UDP payload: 11189
1310975714386: Received UDP payload: 698
1310975714407: Received UDP payload: 851
1310975714442: Received UDP payload: 881
1310975714466: Received UDP payload: 698
1310975714800: Received UDP payload: 470
1310975715429: Received UDP payload: 698
1310975715463: Received UDP payload: 851
1310975715524: Received UDP payload: 881
1310975715541: Received UDP payload: 698
1310975715560: Received UDP payload: 698
1310975715722: Received UDP payload: 698
1310975715791: Received UDP payload: 851
1310975715846: Received UDP payload: 881
1310975715900: Received UDP payload: 698
