1310974557602: started, mId = 5101
1310974557603: region (-1, -1) out of bounds, dormant
1310974557604: UserClient started
1310974557629: Received UDP payload: 698
1310974557688: Received UDP payload: 851
1310974557695: Received UDP payload: 470
1310974557750: Received UDP payload: 881
1310974557762: Received UDP payload: 698
1310974557769: Received UDP payload: 851
1310974557792: Received UDP payload: 881
1310974557796: Received UDP payload: 698
1310974557808: Received UDP payload: 698
1310974557847: Received UDP payload: 698
1310974557891: Received UDP payload: 851
1310974557914: Received UDP payload: 881
1310974557932: Received UDP payload: 698
1310974558065: Received UDP payload: 851
1310974558120: Received UDP payload: 851
1310974558128: Received UDP payload: 881
1310974558138: Received UDP payload: 881
1310974558146: Received UDP payload: 698
1310974558156: Received UDP payload: 851
1310974558163: Received UDP payload: 698
1310974558189: Received UDP payload: 698
1310974558374: Received UDP payload: 698
1310974558413: Received UDP payload: 851
1310974558481: Received UDP payload: 881
1310974558523: Received UDP payload: 698
1310974558910: Received UDP payload: 698
1310974558941: Received UDP payload: 851
1310974558987: Reading spot in (1,0)
1310974558994: Sending UDP payload: 698
1310974559015: Received UDP payload: 881
1310974559028: Received UDP payload: 851
1310974559054: Received UDP payload: 698
1310974559070: Received UDP payload: 881
1310974559083: Received UDP payload: 698
1310974559438: Received UDP payload: 470
1310974559787: Received UDP payload: 698
1310974559821: Received UDP payload: 851
1310974559835: Received UDP payload: 881
1310974559838: Received UDP payload: 698
1310974559856: Received UDP payload: 698
1310974559868: Received UDP payload: 851
1310974559908: Received UDP payload: 881
1310974559917: Received UDP payload: 698
1310974559941: Received UDP payload: 698
1310974559996: Received UDP payload: 851
1310974560050: Received UDP payload: 881
1310974560079: Received UDP payload: 698
1310974560174: Received UDP payload: 698
1310974560206: Received UDP payload: 851
1310974560238: Received UDP payload: 698
1310974560263: Received UDP payload: 698
1310974560267: Received UDP payload: 851
1310974560284: Received UDP payload: 881
1310974560292: Received UDP payload: 881
1310974560298: Received UDP payload: 698
1310974560316: Received UDP payload: 698
1310974560324: Received UDP payload: 851
1310974560342: Received UDP payload: 881
1310974560355: Received UDP payload: 698
1310974560545: Received UDP payload: 698
1310974560580: Received UDP payload: 851
1310974560606: Received UDP payload: 881
1310974560623: Received UDP payload: 698
1310974560936: Received UDP payload: 698
1310974560996: Received UDP payload: 851
1310974561035: Received UDP payload: 881
1310974561042: Received UDP payload: 698
1310974561069: Received UDP payload: 698
1310974561077: Received UDP payload: 851
1310974561085: Received UDP payload: 881
1310974561097: Received UDP payload: 698
1310974561840: Received UDP payload: 698
1310974561881: Received UDP payload: 851
1310974561902: Received UDP payload: 881
1310974561913: Received UDP payload: 698
1310974561960: Received UDP payload: 698
1310974561973: Received UDP payload: 851
1310974561992: Received UDP payload: 881
1310974562007: Received UDP payload: 698
1310974562126: Received UDP payload: 698
1310974562181: Received UDP payload: 851
1310974562243: Received UDP payload: 881
1310974562256: Received UDP payload: 698
1310974562367: Received UDP payload: 698
1310974562376: Received UDP payload: 851
1310974562396: Received UDP payload: 851
1310974562413: Received UDP payload: 698
1310974562429: Received UDP payload: 851
1310974562440: Received UDP payload: 881
1310974562447: Received UDP payload: 881
1310974562455: Received UDP payload: 698
1310974562487: Received UDP payload: 881
1310974562516: Received UDP payload: 698
1310974562547: Received UDP payload: 698
1310974562611: Received UDP payload: 470
1310974562659: Received UDP payload: 470
1310974562687: Received UDP payload: 3167
1310974562705: Received UDP payload: 698
1310974562707: Received UDP payload: 851
1310974562747: Received UDP payload: 881
1310974562759: Received UDP payload: 3272
1310974562766: Received UDP payload: 487
1310974562772: Received UDP payload: 698
1310974562778: Received UDP payload: 470
1310974562782: Received UDP payload: 470
1310974563097: Received UDP payload: 698
1310974563147: Received UDP payload: 851
1310974563205: Received UDP payload: 881
1310974563240: Received UDP payload: 698
1310974563248: Received UDP payload: 3154
1310974563298: Received UDP payload: 487
1310974563463: Received UDP payload: 487
1310974563515: Received UDP payload: 470
1310974563520: Received UDP payload: 470
1310974563675: moving from region (-1,-1), to (0,0)
1310974563678: sending LEADER_REQUEST
1310974563702: Sending UDP payload: 470
1310974563706: UserClient received REGION_CHANGE message.
1310974563807: Received UDP payload: 3167
1310974563837: heard LEADER_REPLY from 5106
1310974563839: now NONLEADER following LEADER 5106
1310974563912: Received UDP payload: 3167
1310974563919: Received UDP payload: 698
1310974563966: Received UDP payload: 470
1310974563989: UserClient request timed out. (1,0)=?
1310974564012: Received UDP payload: 487
