1310690264176: started, mId = 5105
1310690264177: region (-1, -1) out of bounds, dormant
1310690264196: UserClient started
1310690442194: Received UDP payload: 698
1310690543412: Received UDP payload: 470
1310690544035: Received UDP payload: 470
1310690544622: Received UDP payload: 470
1310690548375: Received UDP payload: 3629
1310690548384: Received UDP payload: 470
1310690553375: Received UDP payload: 470
1310690558366: Received UDP payload: 470
1310690563380: Received UDP payload: 470
1310690563583: Received UDP payload: 698
1310690563631: Received UDP payload: 851
1310690563658: Received UDP payload: 881
1310690563663: Received UDP payload: 698
1310690564663: Received UDP payload: 698
1310690564704: Received UDP payload: 851
1310690564708: Received UDP payload: 881
1310690564713: Received UDP payload: 698
1310690565760: Received UDP payload: 698
1310690565799: Received UDP payload: 851
1310690567060: Received UDP payload: 851
1310690567384: Received UDP payload: 851
1310690567721: Received UDP payload: 851
1310690568071: Received UDP payload: 851
1310690568372: Received UDP payload: 851
1310690568414: Received UDP payload: 470
1310690568711: Received UDP payload: 851
1310690569045: Received UDP payload: 851
1310690569078: Received UDP payload: 698
1310690570056: Received UDP payload: 698
1310690570106: Received UDP payload: 851
1310690571138: Received UDP payload: 851
1310690571482: Received UDP payload: 851
1310690571820: Received UDP payload: 851
1310690572150: Received UDP payload: 851
1310690572493: Received UDP payload: 851
1310690572830: Received UDP payload: 851
1310690573188: Received UDP payload: 851
1310690573243: Received UDP payload: 698
1310690573378: Received UDP payload: 470
1310690574245: Received UDP payload: 698
1310690574291: Received UDP payload: 851
1310690575329: Received UDP payload: 851
1310690575607: Received UDP payload: 851
1310690575910: Received UDP payload: 851
1310690576211: Received UDP payload: 851
1310690576513: Received UDP payload: 851
1310690576854: Received UDP payload: 851
1310690577166: Received UDP payload: 851
1310690577527: Received UDP payload: 851
1310690577575: Received UDP payload: 698
1310690578378: Received UDP payload: 470
1310690578579: Received UDP payload: 698
1310690578619: Received UDP payload: 851
1310690578649: Received UDP payload: 881
1310690578653: Received UDP payload: 698
1310690579652: Received UDP payload: 698
1310690579696: Received UDP payload: 851
1310690579700: Received UDP payload: 881
1310690579704: Received UDP payload: 698
1310690580709: Received UDP payload: 698
1310690580774: Received UDP payload: 851
1310690582064: Received UDP payload: 851
1310690582395: Received UDP payload: 851
1310690582704: Received UDP payload: 851
1310690583061: Received UDP payload: 851
1310690583404: Received UDP payload: 851
1310690583450: Received UDP payload: 470
1310690583685: Received UDP payload: 851
1310690584031: Received UDP payload: 851
1310690584072: Received UDP payload: 698
1310690588380: Received UDP payload: 470
1310690593380: Received UDP payload: 470
1310690598382: Received UDP payload: 470
1310690603389: Received UDP payload: 470
1310690608384: Received UDP payload: 470
1310690613381: Received UDP payload: 470
1310690618385: Received UDP payload: 470
1310690623373: Received UDP payload: 470
1310690628389: Received UDP payload: 470
1310690629664: Reading spot in (0,0)
1310690629717: Sending UDP payload: 698
1310690629806: Received UDP payload: 851
1310690629827: Received UDP payload: 881
1310690629846: Received UDP payload: 698
1310690633385: Received UDP payload: 470
1310690638388: Received UDP payload: 470
1310690638580: Received UDP payload: 698
1310690638640: Received UDP payload: 851
1310690638700: Received UDP payload: 881
1310690638704: Received UDP payload: 1158
1310690638730: Received UDP payload: 698
1310690643385: Received UDP payload: 470
1310690648385: Received UDP payload: 470
1310690653084: Received UDP payload: 470
1310690653390: Received UDP payload: 470
1310690653677: Received UDP payload: 470
1310690654298: Received UDP payload: 470
1310690658396: Received UDP payload: 470
1310690662634: Received UDP payload: 851
1310690662676: Received UDP payload: 881
1310690663064: Received UDP payload: 9848
1310690663108: Received UDP payload: 470
1310690663454: Received UDP payload: 470
1310690667910: Received UDP payload: 470
1310690668413: Received UDP payload: 470
1310690672894: Received UDP payload: 470
1310690673391: Received UDP payload: 470
1310690678393: Received UDP payload: 470
1310690683395: Received UDP payload: 470
1310690688398: Received UDP payload: 470
1310690693393: Received UDP payload: 470
1310690698406: Received UDP payload: 470
1310690703399: Received UDP payload: 470
1310690708409: Received UDP payload: 470
1310690713399: Received UDP payload: 470
1310690718399: Received UDP payload: 470
1310690723401: Received UDP payload: 470
1310690728401: Received UDP payload: 470
1310690732568: Requesting spot in (0,0)
1310690732622: Sending UDP payload: 698
1310690732685: Received UDP payload: 851
1310690732699: Received UDP payload: 881
1310690732719: Received UDP payload: 1158
1310690732737: Received UDP payload: 698
1310690733400: Received UDP payload: 470
1310690738401: Received UDP payload: 470
1310690743403: Received UDP payload: 470
1310690748411: Received UDP payload: 470
1310690753413: Received UDP payload: 470
1310690758413: Received UDP payload: 470
1310690760261: Received UDP payload: 470
1310690760848: Received UDP payload: 470
1310690761479: Received UDP payload: 470
1310690763156: Received UDP payload: 470
1310690763286: Received UDP payload: 4073
1310690763413: Received UDP payload: 470
1310690765021: Received UDP payload: 2508
1310690765074: Received UDP payload: 470
1310690768418: Received UDP payload: 470
1310690770037: Received UDP payload: 470
1310690770239: Received UDP payload: 470
1310690770879: Received UDP payload: 470
1310690771491: Received UDP payload: 470
1310690773422: Received UDP payload: 470
1310690773475: Received UDP payload: 470
1310690774276: Received UDP payload: 470
1310690774999: Received UDP payload: 470
1310690775044: Received UDP payload: 470
1310690775117: Received UDP payload: 4073
1310690778148: x,y from GPS: 33, -13
1310690778148: moving from region (-1,-1), to (0,0)
1310690778149: retry sending LEADER_REQUEST
1310690778150: UserClient received REGION_CHANGE message.
1310690778153: Sending UDP payload: 470
1310690778416: Received UDP payload: 470
1310690778750: retry sending LEADER_REQUEST
1310690778791: Sending UDP payload: 470
1310690778916: Received UDP payload: 4073
1310690778944: heard LEADER_REPLY from 5104
1310690778946: now NONLEADER following LEADER 5104
1310690779029: retry sending LEADER_REQUEST
1310690779030: Sending UDP payload: 470
1310690779630: retry sending LEADER_REQUEST
1310690779658: Sending UDP payload: 470
1310690779794: Received UDP payload: 4073
1310690779818: heard LEADER_REPLY from 5104
1310690779820: now NONLEADER following LEADER 5104
1310690779834: Received UDP payload: 470
1310690780039: Received UDP payload: 470
1310690780183: x,y from GPS: 28, -19
1310690780449: Received UDP payload: 470
1310690781068: Received UDP payload: 470
1310690781199: x,y from GPS: 21, -24
1310690783201: x,y from GPS: 13, -26
1310690783415: Received UDP payload: 470
1310690785037: Received UDP payload: 470
1310690785440: Received UDP payload: 2659
1310690785462: Received UDP payload: 470
1310690785679: Received UDP payload: 470
1310690786265: Received UDP payload: 470
1310690786894: Received UDP payload: 470
1310690787196: Received UDP payload: 487
1310690788410: Received UDP payload: 470
1310690788421: Received UDP payload: 470
1310690788535: Received UDP payload: 4073
1310690790069: Received UDP payload: 470
1310690790458: Received UDP payload: 470
1310690790583: Received UDP payload: 4073
1310690793415: Received UDP payload: 470
1310690795056: Received UDP payload: 470
1310690798412: Received UDP payload: 470
1310690800070: Received UDP payload: 470
1310690803424: Received UDP payload: 470
1310690805069: Received UDP payload: 470
1310690806843: Received UDP payload: 470
1310690807433: Received UDP payload: 470
1310690808041: Received UDP payload: 470
1310690808426: Received UDP payload: 470
1310690810056: Received UDP payload: 470
1310690813408: Received UDP payload: 470
1310690815073: Received UDP payload: 470
1310690817199: Received UDP payload: 487
1310690818424: Received UDP payload: 470
1310690819198: x,y from GPS: 14, -21
1310690821335: Received UDP payload: 470
1310690821959: Received UDP payload: 470
1310690822192: Received UDP payload: 470
1310690822256: Received UDP payload: 4073
1310690822815: Received UDP payload: 470
1310690822929: Received UDP payload: 4073
1310690823033: Received UDP payload: 2508
1310690823079: Received UDP payload: 470
1310690823418: Received UDP payload: 470
1310690823428: Received UDP payload: 470
1310690823545: Received UDP payload: 4073
1310690828031: Received UDP payload: 470
1310690828411: Received UDP payload: 470
1310690833042: Received UDP payload: 470
1310690833418: Received UDP payload: 470
1310690834218: Received UDP payload: 470
1310690834298: Received UDP payload: 4073
1310690834844: Received UDP payload: 470
1310690834961: Received UDP payload: 4073
1310690835463: Received UDP payload: 470
1310690835599: Received UDP payload: 4073
1310690838070: Received UDP payload: 470
1310690838186: Received UDP payload: 487
1310690838193: heard LEADER_ELECT from node 5104, responding LEADER_NOMINATE
1310690838218: Received UDP payload: 470
1310690838244: Sending UDP payload: 470
1310690838254: Received UDP payload: 470
1310690838256: Received UDP payload: 470
1310690838258: Received UDP payload: 470
1310690838421: Received UDP payload: 470
1310690838687: Received UDP payload: 4073
1310690838756: Received UDP payload: 487
1310690840206: Received UDP payload: 470
1310690840829: Received UDP payload: 470
1310690840857: Received UDP payload: 698
1310690841427: Received UDP payload: 470
1310690842749: Received UDP payload: 470
1310690843057: Received UDP payload: 470
1310690843371: Received UDP payload: 470
1310690843471: Received UDP payload: 698
1310690843972: Received UDP payload: 470
1310690844610: Received UDP payload: 4056
1310690844629: heard LEADER_REPLY from 5107
1310690844636: now NONLEADER following LEADER 5107
1310690844658: Received UDP payload: 4073
1310690844694: Received UDP payload: 4073
1310690844733: Received UDP payload: 698
1310690844999: Received UDP payload: 2659
1310690845153: Received UDP payload: 487
1310690845457: Received UDP payload: 470
1310690847198: Received UDP payload: 470
1310690847273: Received UDP payload: 470
1310690847383: Received UDP payload: 4073
1310690847831: Received UDP payload: 470
1310690848048: Received UDP payload: 470
1310690848443: Received UDP payload: 470
1310690848459: Received UDP payload: 470
1310690848628: Received UDP payload: 4073
1310690849173: Received UDP payload: 470
1310690849399: Received UDP payload: 698
1310690849792: Received UDP payload: 470
1310690850398: Received UDP payload: 470
1310690850451: Received UDP payload: 470
1310690852196: x,y from GPS: 15, -26
1310690852456: Received UDP payload: 2659
1310690853062: Received UDP payload: 470
1310690853416: Received UDP payload: 470
1310690855450: Received UDP payload: 470
1310690858067: Received UDP payload: 470
1310690858427: Received UDP payload: 470
1310690859206: Received UDP payload: 487
1310690860452: Received UDP payload: 470
1310690860855: Received UDP payload: 698
1310690860886: Received UDP payload: 851
1310690860903: Received UDP payload: 881
1310690860906: Received UDP payload: 698
1310690861193: x,y from GPS: 14, -31
1310690861215: Received UDP payload: 487
1310690863036: Received UDP payload: 470
1310690863089: Received UDP payload: 470
1310690863179: Received UDP payload: 4073
1310690863685: Received UDP payload: 470
1310690864288: Received UDP payload: 470
1310690865458: Received UDP payload: 470
1310690867361: Received UDP payload: 2659
1310690868457: Received UDP payload: 470
1310690870454: Received UDP payload: 470
1310690872803: Received UDP payload: 698
1310690873462: Received UDP payload: 470
1310690875454: Received UDP payload: 470
1310690878459: Received UDP payload: 470
1310690880463: Received UDP payload: 470
1310690883480: Received UDP payload: 470
1310690885142: Received UDP payload: 698
1310690885460: Received UDP payload: 470
1310690886213: Received UDP payload: 698
1310690888494: Received UDP payload: 470
1310690890459: Received UDP payload: 470
1310690892654: Received UDP payload: 698
1310690892684: Received UDP payload: 851
1310690892696: Received UDP payload: 881
1310690892699: Received UDP payload: 698
1310690893476: Received UDP payload: 470
1310690895454: Received UDP payload: 470
1310690898490: Received UDP payload: 470
1310690900466: Received UDP payload: 470
1310690903477: Received UDP payload: 470
1310690905468: Received UDP payload: 470
1310690906297: Received UDP payload: 470
1310690906438: Received UDP payload: 4082
1310690908485: Received UDP payload: 470
1310690910464: Received UDP payload: 470
1310690913487: Received UDP payload: 470
1310690915462: Received UDP payload: 470
1310690918492: Received UDP payload: 470
1310690919208: Received UDP payload: 470
1310690919293: Received UDP payload: 2676
1310690920205: Received UDP payload: 470
1310690920288: Received UDP payload: 2676
1310690920466: Received UDP payload: 470
1310690920944: Received UDP payload: 470
1310690921039: Received UDP payload: 2676
1310690921169: x,y from GPS: 11, -34
1310690921766: Received UDP payload: 470
1310690921908: Received UDP payload: 2676
1310690923476: Received UDP payload: 470
1310690923594: Received UDP payload: 698
1310690923669: Received UDP payload: 851
1310690923703: Received UDP payload: 881
1310690923731: Received UDP payload: 698
1310690925461: Received UDP payload: 470
1310690928482: Received UDP payload: 470
1310690930459: Received UDP payload: 470
1310690932495: Received UDP payload: 698
1310690933500: Received UDP payload: 470
1310690934680: Reading spot in (0,0)
1310690934726: Sending UDP payload: 698
1310690934802: Received UDP payload: 851
1310690934835: Received UDP payload: 881
1310690934853: Received UDP payload: 698
1310690934855: Parking read on (0,0) from (0,0)succeeded, spots=18,latency=173
1310690935457: Received UDP payload: 698
1310690935486: Received UDP payload: 470
1310690936162: Received UDP payload: 698
1310690936703: Received UDP payload: 698
1310690937202: x,y from GPS: 16, -40
1310690937202: moving from region (0,0), to (0,-1)
1310690937202: region (0, -1) out of bounds, dormant
1310690937203: UserClient received REGION_CHANGE message.
1310690938198: x,y from GPS: 18, -46
1310690938510: Received UDP payload: 470
1310690939198: x,y from GPS: 21, -50
1310690940227: x,y from GPS: 24, -55
1310690940465: Received UDP payload: 470
1310690943523: Received UDP payload: 470
1310690944203: x,y from GPS: 26, -59
1310690945472: Received UDP payload: 470
1310690946202: x,y from GPS: 29, -64
1310690948498: Received UDP payload: 470
1310690950202: x,y from GPS: 30, -70
1310690950202: moving from region (0,-1), to (0,-2)
1310690950203: region (0, -2) out of bounds, dormant
