1310976503120: started, mId = 5110
1310976503120: region (-1, -1) out of bounds, dormant
1310976503121: UserClient started
1310976510662: Received UDP payload: 698
1310976512249: Received UDP payload: 470
1310976512398: Received UDP payload: 470
1310976512871: Received UDP payload: 470
1310976512999: Received UDP payload: 470
1310976513486: Received UDP payload: 470
1310976513592: Received UDP payload: 470
1310976514481: Received UDP payload: 470
1310976515064: Received UDP payload: 470
1310976515659: Received UDP payload: 698
1310976515685: Received UDP payload: 470
1310976515706: Received UDP payload: 470
1310976516007: moving from region (-1,-1), to (1,0)
1310976516010: sending LEADER_REQUEST
1310976516011: UserClient received REGION_CHANGE message.
1310976516057: Sending UDP payload: 470
1310976516313: Received UDP payload: 470
1310976516612: sending LEADER_REQUEST
1310976516641: Sending UDP payload: 470
1310976516687: Received UDP payload: 851
1310976516721: Received UDP payload: 881
1310976516756: Received UDP payload: 698
1310976516895: Received UDP payload: 470
1310976517003: Received UDP payload: 11489
1310976517213: sending LEADER_REQUEST
1310976517336: Received UDP payload: 11642
1310976517338: Received UDP payload: 851
1310976517341: Received UDP payload: 698
1310976517344: Received UDP payload: 11659
1310976517346: Received UDP payload: 11686
1310976517348: Received UDP payload: 470
1310976517435: Received UDP payload: 11686
1310976517492: Sending UDP payload: 470
1310976517504: heard LEADER_REPLY from 5109
1310976517508: now NONLEADER following LEADER 5109
1310976517540: Received UDP payload: 11686
1310976518115: Received UDP payload: 470
1310976518349: Received UDP payload: 698
1310976518398: Received UDP payload: 851
1310976518432: Received UDP payload: 881
1310976518850: Received UDP payload: 470
1310976518875: Received UDP payload: 470
1310976519163: Received UDP payload: 470
1310976519328: Received UDP payload: 470
1310976519406: Received UDP payload: 698
1310976519505: Received UDP payload: 470
1310976519529: Received UDP payload: 851
1310976519560: Received UDP payload: 698
1310976519727: Received UDP payload: 470
1310976519945: Received UDP payload: 12303
1310976519978: Received UDP payload: 698
1310976520321: Received UDP payload: 470
1310976520510: Received UDP payload: 698
1310976520540: Received UDP payload: 851
1310976520564: Received UDP payload: 881
1310976520635: Received UDP payload: 851
1310976520665: Received UDP payload: 881
1310976520701: Received UDP payload: 698
1310976520794: Received UDP payload: 12723
1310976521013: Received UDP payload: 698
1310976521019: Received UDP payload: 851
1310976521024: Received UDP payload: 881
1310976521028: Received UDP payload: 698
1310976521031: Received UDP payload: 11489
1310976521206: Received UDP payload: 11642
1310976521210: Received UDP payload: 11659
1310976521212: Received UDP payload: 470
1310976521237: Received UDP payload: 851
1310976521415: Received UDP payload: 470
1310976521463: Received UDP payload: 470
1310976521560: Received UDP payload: 470
1310976521589: Received UDP payload: 698
1310976521603: Received UDP payload: 470
1310976521605: Received UDP payload: 698
1310976521617: Received UDP payload: 851
1310976521633: Received UDP payload: 851
1310976521639: Received UDP payload: 698
1310976521810: Received UDP payload: 13095
1310976521927: Received UDP payload: 13095
1310976522495: Received UDP payload: 851
1310976522532: Received UDP payload: 881
1310976522739: Received UDP payload: 11489
1310976522982: Received UDP payload: 11642
1310976522987: Received UDP payload: 698
1310976522991: Received UDP payload: 851
1310976522996: Received UDP payload: 851
1310976522998: Received UDP payload: 851
1310976523014: Received UDP payload: 881
1310976523021: Received UDP payload: 851
1310976523028: Received UDP payload: 698
1310976523099: Received UDP payload: 698
1310976523136: Received UDP payload: 881
1310976523164: Received UDP payload: 698
1310976523166: Received UDP payload: 470
1310976523465: Received UDP payload: 851
1310976523706: Received UDP payload: 698
1310976523747: Received UDP payload: 470
1310976523774: Received UDP payload: 851
1310976523864: Received UDP payload: 698
1310976523903: Received UDP payload: 851
1310976523922: Received UDP payload: 881
1310976523931: moving from region (1,0), to (0,0)
1310976523933: sending LEADER_REQUEST
1310976523936: UserClient received REGION_CHANGE message.
1310976523946: Sending UDP payload: 470
1310976524164: Received UDP payload: 11694
1310976524190: heard LEADER_REPLY from 5104
1310976524191: now NONLEADER following LEADER 5104
1310976524211: Received UDP payload: 851
1310976524228: Received UDP payload: 698
1310976524468: Received UDP payload: 470
1310976524493: Received UDP payload: 11659
1310976524601: Received UDP payload: 11659
1310976524715: Received UDP payload: 851
1310976524794: Received UDP payload: 881
1310976524866: Received UDP payload: 698
1310976525009: Received UDP payload: 698
1310976525195: Received UDP payload: 851
1310976525228: Received UDP payload: 851
1310976525239: Received UDP payload: 851
1310976525242: Received UDP payload: 698
1310976525244: Received UDP payload: 698
1310976525246: Received UDP payload: 881
1310976525249: Received UDP payload: 698
1310976525252: Received UDP payload: 698
1310976525276: Received UDP payload: 851
1310976525311: Received UDP payload: 881
1310976525324: Received UDP payload: 698
1310976525500: Received UDP payload: 12205
1310976525749: Received UDP payload: 851
1310976525754: Received UDP payload: 851
1310976526320: Received UDP payload: 698
1310976526385: Received UDP payload: 881
1310976526419: Received UDP payload: 698
1310976526653: Received UDP payload: 698
1310976526667: Received UDP payload: 881
1310976526695: Received UDP payload: 698
1310976526958: Received UDP payload: 698
1310976527023: Received UDP payload: 881
1310976527054: Received UDP payload: 698
1310976527283: Received UDP payload: 698
1310976527316: Received UDP payload: 851
1310976527345: Received UDP payload: 698
1310976527397: Received UDP payload: 698
1310976527429: Received UDP payload: 881
1310976527458: Received UDP payload: 851
1310976527479: Received UDP payload: 881
1310976527486: Received UDP payload: 698
1310976527518: Received UDP payload: 698
1310976527592: Received UDP payload: 12320
1310976527727: Received UDP payload: 851
1310976527731: Received UDP payload: 881
1310976527734: Received UDP payload: 12901
1310976527930: Received UDP payload: 698
1310976527932: Received UDP payload: 851
1310976527936: Received UDP payload: 851
1310976527980: Received UDP payload: 851
1310976528043: Received UDP payload: 851
1310976528472: Received UDP payload: 698
1310976528540: Received UDP payload: 881
1310976528569: Received UDP payload: 698
1310976528688: Received UDP payload: 698
1310976528740: Received UDP payload: 881
1310976528770: Received UDP payload: 698
1310976528908: Received UDP payload: 698
1310976528937: Received UDP payload: 851
1310976528953: Received UDP payload: 881
1310976529122: Received UDP payload: 698
1310976529149: Received UDP payload: 12271
1310976529327: Received UDP payload: 698
1310976529331: Received UDP payload: 881
1310976529336: Received UDP payload: 698
1310976529339: Received UDP payload: 470
1310976529346: Received UDP payload: 851
1310976529395: Received UDP payload: 470
1310976529516: Received UDP payload: 698
1310976529539: Received UDP payload: 881
1310976529562: Received UDP payload: 698
1310976529573: Received UDP payload: 698
1310976529588: Received UDP payload: 881
1310976529594: Received UDP payload: 698
1310976529923: Received UDP payload: 470
1310976530097: Received UDP payload: 698
1310976530155: Received UDP payload: 12419
1310976530177: Received UDP payload: 881
1310976530207: Received UDP payload: 698
1310976530297: Received UDP payload: 470
1310976530500: Received UDP payload: 470
1310976530622: Received UDP payload: 698
1310976530722: Received UDP payload: 12419
1310976530774: Received UDP payload: 881
1310976530797: Received UDP payload: 698
1310976530799: Received UDP payload: 698
1310976530808: Received UDP payload: 851
1310976530851: Received UDP payload: 881
1310976530863: Received UDP payload: 698
1310976531047: Received UDP payload: 13534
1310976531268: Received UDP payload: 470
1310976531271: Received UDP payload: 698
1310976531274: Received UDP payload: 851
1310976531277: Received UDP payload: 698
1310976531280: Received UDP payload: 851
1310976531295: Received UDP payload: 851
1310976531303: Received UDP payload: 851
1310976531318: Received UDP payload: 851
1310976531351: Received UDP payload: 698
1310976531373: Received UDP payload: 881
1310976531388: Received UDP payload: 698
1310976531523: Received UDP payload: 13490
1310976531779: Received UDP payload: 698
1310976531787: Received UDP payload: 881
1310976531795: Received UDP payload: 698
1310976531801: Received UDP payload: 698
1310976531811: Received UDP payload: 851
1310976531828: Received UDP payload: 881
1310976531835: Received UDP payload: 698
1310976532268: Received UDP payload: 698
1310976532336: Received UDP payload: 851
1310976532364: Received UDP payload: 470
1310976532378: Received UDP payload: 881
1310976532646: Received UDP payload: 12451
1310976532667: Received UDP payload: 698
1310976532850: Received UDP payload: 851
1310976532884: Received UDP payload: 698
1310976532905: Received UDP payload: 698
1310976532912: Received UDP payload: 881
1310976532921: Received UDP payload: 851
1310976532929: Received UDP payload: 881
1310976532935: Received UDP payload: 698
1310976532943: Received UDP payload: 698
1310976533274: Received UDP payload: 698
1310976533326: Received UDP payload: 851
1310976533353: Received UDP payload: 881
1310976533396: Received UDP payload: 698
1310976533422: Received UDP payload: 851
1310976533523: Received UDP payload: 12866
1310976533780: Received UDP payload: 698
1310976533783: Received UDP payload: 881
1310976533786: Received UDP payload: 13452
1310976533963: Received UDP payload: 851
1310976533969: Received UDP payload: 851
1310976533971: Received UDP payload: 698
1310976533974: Received UDP payload: 851
1310976533976: Received UDP payload: 698
