1310976998070: started, mId = 5106
1310976998070: region (-1, -1) out of bounds, dormant
1310976998071: UserClient started
1310977007362: Received UDP payload: 698
1310977012404: Received UDP payload: 698
1310977013043: Received UDP payload: 470
1310977013640: Received UDP payload: 470
1310977014247: Received UDP payload: 470
1310977014940: Received UDP payload: 470
1310977015199: Received UDP payload: 470
1310977015523: Received UDP payload: 470
1310977015801: Received UDP payload: 470
1310977016114: Received UDP payload: 470
1310977016174: Received UDP payload: 470
1310977016323: Received UDP payload: 470
1310977016391: Received UDP payload: 470
1310977016733: Received UDP payload: 470
1310977016784: Received UDP payload: 470
1310977016839: Received UDP payload: 698
1310977016893: Received UDP payload: 470
1310977016995: moving from region (-1,-1), to (1,0)
1310977016997: sending LEADER_REQUEST
1310977017040: Sending UDP payload: 470
1310977017041: UserClient received REGION_CHANGE message.
1310977017311: Received UDP payload: 470
1310977017388: Received UDP payload: 698
1310977017417: Received UDP payload: 470
1310977017480: Received UDP payload: 470
1310977017549: Received UDP payload: 851
1310977017599: sending LEADER_REQUEST
1310977017609: Received UDP payload: 881
1310977017623: Sending UDP payload: 470
1310977017659: Received UDP payload: 698
1310977017914: Received UDP payload: 11489
1310977018200: sending LEADER_REQUEST
1310977018263: Sending UDP payload: 470
1310977018266: Received UDP payload: 470
1310977018269: Received UDP payload: 11642
1310977018272: heard LEADER_REPLY from 5108
1310977018272: now NONLEADER following LEADER 5108
1310977018280: Received UDP payload: 851
1310977018291: Received UDP payload: 12327
1310977018295: Received UDP payload: 11795
1310977018354: Received UDP payload: 11795
1310977018456: Received UDP payload: 470
1310977018526: Received UDP payload: 11795
1310977018671: Received UDP payload: 698
1310977018757: Received UDP payload: 11795
1310977018810: Received UDP payload: 12751
1310977018928: Received UDP payload: 11795
1310977018962: Received UDP payload: 851
1310977018974: Received UDP payload: 881
1310977019048: Received UDP payload: 11795
1310977019058: Received UDP payload: 470
1310977019267: Received UDP payload: 12511
1310977019425: Received UDP payload: 12353
1310977019428: Received UDP payload: 470
1310977019508: Received UDP payload: 12506
1310977019612: Received UDP payload: 11795
1310977019644: Received UDP payload: 851
1310977019664: Received UDP payload: 487
1310977019666: heard LEADER_ELECT from node 5108, responding LEADER_NOMINATE
1310977019668: Sending UDP payload: 470
1310977019676: Received UDP payload: 470
1310977019701: Received UDP payload: 851
1310977019713: Received UDP payload: 470
1310977019750: Received UDP payload: 698
1310977019826: Received UDP payload: 851
1310977020084: Received UDP payload: 11852
1310977020087: received LEADER_CONFIRM from 5108, replying LEADER_CONFIRM_ACK
1310977020088: waiting to give old leader time to release
1310977020099: Sending UDP payload: 487
1310977020348: Received UDP payload: 470
1310977020686: Received UDP payload: 470
1310977020711: Received UDP payload: 470
1310977020807: Received UDP payload: 470
1310977020912: Received UDP payload: 470
1310977021330: Received UDP payload: 698
1310977021377: Received UDP payload: 851
1310977021398: Received UDP payload: 470
1310977021400: Received UDP payload: 698
1310977021403: Received UDP payload: 470
1310977021483: Received UDP payload: 470
1310977021894: Received UDP payload: 698
1310977021928: Received UDP payload: 470
1310977021949: Received UDP payload: 470
1310977022078: Received UDP payload: 698
1310977022367: Received UDP payload: 698
1310977022430: Received UDP payload: 698
1310977022582: Received UDP payload: 851
1310977022720: Received UDP payload: 698
1310977023193: Received UDP payload: 851
1310977023717: Received UDP payload: 698
1310977023832: Received UDP payload: 851
1310977023863: Received UDP payload: 698
1310977024763: Received UDP payload: 698
1310977025124: Received UDP payload: 470
1310977025723: Received UDP payload: 470
1310977025864: Received UDP payload: 698
1310977025893: Received UDP payload: 851
1310977026344: Received UDP payload: 470
1310977026371: Received UDP payload: 698
1310977026862: Received UDP payload: 851
1310977026930: Received UDP payload: 698
1310977027106: Received UDP payload: 698
1310977027429: Received UDP payload: 698
1310977027482: Received UDP payload: 698
1310977027545: Received UDP payload: 851
1310977027746: Received UDP payload: 698
1310977028133: Received UDP payload: 851
1310977028155: Requesting spot in (0,0)
1310977028185: Sending UDP payload: 698
1310977028191: Received UDP payload: 698
1310977028754: Received UDP payload: 698
1310977029155: Received UDP payload: 470
1310977029765: Received UDP payload: 698
1310977030171: Received UDP payload: 698
1310977030198: Received UDP payload: 851
1310977031208: Received UDP payload: 851
1310977031395: Received UDP payload: 698
1310977031833: Received UDP payload: 851
1310977031926: Received UDP payload: 698
1310977032137: Received UDP payload: 698
1310977032445: Received UDP payload: 851
1310977032480: Received UDP payload: 698
1310977032511: Received UDP payload: 698
1310977032523: Received UDP payload: 698
1310977032757: Received UDP payload: 698
1310977033164: UserClient request timed out. (0,0)=?
1310977033188: Requesting spot in (1,0)
1310977033219: Sending UDP payload: 698
1310977033772: Received UDP payload: 698
1310977034478: Received UDP payload: 698
1310977034505: Received UDP payload: 851
1310977034800: Received UDP payload: 698
1310977035489: Received UDP payload: 851
1310977036144: Received UDP payload: 851
1310977036415: Received UDP payload: 698
1310977036766: Received UDP payload: 851
1310977036826: moving from region (1,0), to (0,0)
1310977036827: UserClient received REGION_CHANGE message.
1310977036831: Received UDP payload: 698
1310977036907: Received UDP payload: 698
1310977037160: Received UDP payload: 698
1310977037387: moving from region (0,0), to (1,0)
1310977037392: UserClient received REGION_CHANGE message.
1310977037478: Received UDP payload: 698
1310977037545: Received UDP payload: 698
1310977037794: Received UDP payload: 698
1310977038156: Received UDP payload: 470
1310977038200: UserClient request timed out. (1,0)=?
1310977038788: Received UDP payload: 470
1310977038809: Received UDP payload: 698
1310977038831: Received UDP payload: 698
1310977038834: Received UDP payload: 851
1310977039162: Received UDP payload: 470
1310977039392: Received UDP payload: 470
1310977039810: Received UDP payload: 851
1310977039832: Received UDP payload: 698
1310977039874: Received UDP payload: 851
1310977039922: Received UDP payload: 945
1310977040221: Received UDP payload: 11489
1310977040436: Received UDP payload: 11642
1310977040468: Received UDP payload: 11659
1310977040502: Received UDP payload: 851
1310977040515: Received UDP payload: 851
1310977040670: Received UDP payload: 11659
1310977040833: Received UDP payload: 11659
1310977040836: Received UDP payload: 470
1310977040842: Received UDP payload: 881
1310977040868: Received UDP payload: 698
1310977040879: cloud rejected leadership request or request failed, wait to retry
1310977040889: sending LEADER_REQUEST
1310977040890: Sending UDP payload: 470
1310977040891: LEADER_REQUEST timed out
1310977040991: Received UDP payload: 12192
1310977041219: Received UDP payload: 12340
1310977041222: Received UDP payload: 851
1310977041424: Received UDP payload: 698
1310977041489: Received UDP payload: 851
1310977041554: Received UDP payload: 881
1310977041584: Received UDP payload: 698
1310977041748: Received UDP payload: 12422
1310977041949: cloud rejected leadership request or request failed, wait to retry
1310977041955: heard LEADER_REPLY from 5110
1310977041955: now NONLEADER following LEADER 5110
1310977042025: Received UDP payload: 698
1310977042041: Received UDP payload: 851
1310977042060: Received UDP payload: 881
1310977042102: Received UDP payload: 851
