1310974415950: started, mId = 5107
1310974415951: region (-1, -1) out of bounds, dormant
1310974415953: UserClient started
1310974437412: Received UDP payload: 698
1310974438911: Received UDP payload: 698
1310974440510: Received UDP payload: 698
1310974442370: Received UDP payload: 698
1310974443891: Received UDP payload: 698
1310974445488: Received UDP payload: 698
1310974448912: Received UDP payload: 698
1310974450510: Received UDP payload: 698
1310974455528: Received UDP payload: 698
1310974460547: Received UDP payload: 698
1310974465563: Received UDP payload: 698
1310974467797: Received UDP payload: 698
1310974470581: Received UDP payload: 698
1310974472793: Received UDP payload: 698
1310974475601: Received UDP payload: 698
1310974477826: Received UDP payload: 698
1310974480613: Received UDP payload: 698
1310974482859: Received UDP payload: 698
1310974485634: Received UDP payload: 698
1310974487887: Received UDP payload: 698
1310974490654: Received UDP payload: 698
1310974492909: Received UDP payload: 698
1310974497943: Received UDP payload: 698
1310974502974: Received UDP payload: 698
1310974507995: Received UDP payload: 698
1310974513123: Received UDP payload: 698
1310974518150: Received UDP payload: 698
1310974523175: Received UDP payload: 698
1310974528190: Received UDP payload: 698
1310974529636: Received UDP payload: 470
1310974530236: Received UDP payload: 470
1310974530298: Received UDP payload: 470
1310974530611: Received UDP payload: 470
1310974530824: Received UDP payload: 470
1310974530874: Received UDP payload: 470
1310974531197: Received UDP payload: 470
1310974531471: Received UDP payload: 470
1310974531799: Received UDP payload: 470
1310974532298: Received UDP payload: 470
1310974532548: Received UDP payload: 698
1310974532891: Received UDP payload: 470
1310974533227: Received UDP payload: 698
1310974533482: Received UDP payload: 470
1310974533952: Received UDP payload: 3180
1310974533982: Received UDP payload: 3197
1310974534011: Received UDP payload: 3197
1310974534029: Received UDP payload: 470
1310974534334: Received UDP payload: 3315
1310974534990: Received UDP payload: 698
1310974535054: Received UDP payload: 470
1310974535074: Received UDP payload: 851
1310974535111: Received UDP payload: 881
1310974535135: Received UDP payload: 698
1310974535145: Received UDP payload: 3332
1310974536693: moving from region (-1,-1), to (0,0)
1310974536697: sending LEADER_REQUEST
1310974536744: Sending UDP payload: 470
1310974536744: UserClient received REGION_CHANGE message.
1310974536810: Received UDP payload: 3424
1310974536815: Received UDP payload: 470
1310974536859: Received UDP payload: 3184
1310974536866: heard LEADER_REPLY from 5106
1310974536867: now NONLEADER following LEADER 5106
1310974537563: Received UDP payload: 698
1310974537605: Received UDP payload: 851
1310974537668: Received UDP payload: 881
1310974537692: Received UDP payload: 698
1310974537715: Received UDP payload: 470
1310974538496: Received UDP payload: 698
1310974538564: Received UDP payload: 851
1310974538619: Received UDP payload: 881
1310974538643: Received UDP payload: 698
1310974539410: Received UDP payload: 698
1310974539486: Received UDP payload: 851
1310974539553: Received UDP payload: 881
1310974539587: Received UDP payload: 698
1310974539611: Received UDP payload: 698
1310974539625: Received UDP payload: 851
1310974539648: Received UDP payload: 881
1310974539654: Received UDP payload: 698
1310974539751: Received UDP payload: 698
1310974539823: Received UDP payload: 851
1310974539880: Received UDP payload: 881
1310974539904: Received UDP payload: 698
1310974540227: Received UDP payload: 470
1310974540342: Received UDP payload: 3310
1310974541969: Received UDP payload: 698
1310974542029: Received UDP payload: 851
1310974542091: Received UDP payload: 881
1310974542116: Received UDP payload: 698
1310974542862: Received UDP payload: 470
1310974543472: Received UDP payload: 470
1310974543502: Received UDP payload: 470
1310974543522: Received UDP payload: 698
1310974543576: Received UDP payload: 851
1310974543626: Received UDP payload: 3297
