1310976822664: started, mId = 5107
1310976822664: region (-1, -1) out of bounds, dormant
1310976822668: UserClient started
1310976823110: Received UDP payload: 851
1310976823738: Received UDP payload: 851
1310976823784: Received UDP payload: 470
1310976824166: Received UDP payload: 470
1310976824367: Received UDP payload: 851
1310976824414: Received UDP payload: 698
1310976824432: Received UDP payload: 470
1310976824734: Received UDP payload: 470
1310976824966: Received UDP payload: 470
1310976825366: Received UDP payload: 470
1310976826098: Received UDP payload: 698
1310976826410: Received UDP payload: 698
1310976826447: Received UDP payload: 851
1310976827410: Received UDP payload: 851
1310976827461: Received UDP payload: 698
1310976827499: Received UDP payload: 698
1310976828046: Received UDP payload: 851
1310976828676: Received UDP payload: 851
1310976828711: Received UDP payload: 698
1310976828833: Received UDP payload: 698
1310976829803: moving from region (-1,-1), to (1,0)
1310976829805: sending LEADER_REQUEST
1310976829870: Sending UDP payload: 470
1310976829871: UserClient received REGION_CHANGE message.
1310976830408: sending LEADER_REQUEST
1310976830438: Sending UDP payload: 470
1310976830513: Requesting spot in (0,0)
1310976830515: Sending UDP payload: 698
1310976830735: Received UDP payload: 698
1310976830771: Received UDP payload: 851
1310976830797: Received UDP payload: 851
1310976831011: sending LEADER_REQUEST
1310976831051: Sending UDP payload: 470
1310976831120: Received UDP payload: 470
1310976831147: Received UDP payload: 698
1310976831316: LEADER_REQUEST timed out
1310976831392: Received UDP payload: 470
1310976831723: Received UDP payload: 851
1310976831765: Received UDP payload: 851
1310976831769: Received UDP payload: 470
1310976832336: Received UDP payload: 851
1310976832375: Received UDP payload: 470
1310976832381: Received UDP payload: 851
1310976832433: Received UDP payload: 698
1310976832496: Received UDP payload: 698
1310976832969: Received UDP payload: 851
1310976832975: Received UDP payload: 698
1310976833623: Received UDP payload: 470
1310976833772: Received UDP payload: 470
1310976833833: Received UDP payload: 470
1310976833862: Received UDP payload: 698
1310976834176: Received UDP payload: 470
1310976834274: Received UDP payload: 470
1310976834376: Received UDP payload: 470
1310976834805: Received UDP payload: 470
1310976834870: Received UDP payload: 470
1310976834985: Received UDP payload: 470
1310976835017: Received UDP payload: 698
1310976835046: Received UDP payload: 881
1310976835073: Received UDP payload: 698
1310976835446: Received UDP payload: 470
1310976835519: UserClient request timed out. (0,0)=?
1310976835539: Requesting spot in (1,0)
1310976835562: Sending UDP payload: 698
1310976835906: Received UDP payload: 698
1310976836154: Received UDP payload: 698
1310976837075: Received UDP payload: 698
1310976837104: Received UDP payload: 851
1310976837484: Received UDP payload: 698
1310976837598: Received UDP payload: 698
1310976838334: Received UDP payload: 470
1310976838392: Received UDP payload: 851
1310976838863: Received UDP payload: 698
1310976838964: Received UDP payload: 470
1310976839033: Received UDP payload: 470
1310976839185: Received UDP payload: 698
1310976839376: Received UDP payload: 470
1310976839621: Received UDP payload: 851
1310976839652: Received UDP payload: 698
1310976839668: Received UDP payload: 470
1310976839954: Received UDP payload: 470
1310976840229: Received UDP payload: 470
1310976840547: UserClient request timed out. (1,0)=?
1310976840549: Reading spot in (1,1)
1310976840594: Received UDP payload: 470
1310976840610: Sending UDP payload: 698
1310976840948: Received UDP payload: 698
1310976840984: moving from region (1,0), to (0,0)
1310976840992: UserClient received REGION_CHANGE message.
1310976841192: Received UDP payload: 698
1310976841396: Received UDP payload: 470
1310976841438: Received UDP payload: 698
1310976841697: Received UDP payload: 698
1310976841730: Received UDP payload: 881
1310976842471: Received UDP payload: 698
1310976843117: Received UDP payload: 698
1310976843145: Received UDP payload: 698
1310976843172: Received UDP payload: 851
1310976843186: Received UDP payload: 851
1310976844071: Received UDP payload: 698
1310976844107: Received UDP payload: 851
1310976844142: Received UDP payload: 851
1310976844470: Received UDP payload: 851
1310976844496: Received UDP payload: 851
1310976845107: Received UDP payload: 851
1310976845144: Received UDP payload: 851
1310976845154: Received UDP payload: 851
1310976845157: Received UDP payload: 851
1310976845563: UserClient request timed out. (1,1)=?
1310976845578: Reading spot in (1,0)
1310976845607: Sending UDP payload: 698
1310976845723: Received UDP payload: 851
1310976845763: Received UDP payload: 851
1310976845794: Received UDP payload: 698
1310976845802: Received UDP payload: 851
1310976846364: Received UDP payload: 851
1310976846395: Received UDP payload: 698
1310976848411: Received UDP payload: 698
1310976848458: Received UDP payload: 881
1310976848495: Received UDP payload: 698
1310976850459: Received UDP payload: 698
1310976850520: Received UDP payload: 698
1310976850553: Received UDP payload: 851
1310976850568: Received UDP payload: 881
1310976850587: UserClient request timed out. (1,0)=?
1310976850587: Requesting spot in (0,0)
1310976850589: Sending UDP payload: 698
1310976851197: Received UDP payload: 43439
