1310691093172: *** Opened log file for writing ***
1310691093172: *** Application started ***
1310691175147: Reading spot in (1,0)
1310691179056: Parking read succeeded, spots=20,latency=3886
1310691191324: Requesting spot in (1,0)
1310691193690: Wait for previous action to complete.
1310691194588: Parking request succeeded, spots=19,latency=3249
1310691206325: You are already holding a spot!(1,0)
1310691210310: You are already holding a spot!(1,0)
1310691211885: You are already holding a spot!(1,0)
1310691213097: You are already holding a spot!(1,0)
1310691215291: Releasing spot in (1,0)
1310691216590: Wait for previous action to complete.
1310691218954: Parking release succeeded, spots=20,latency=3643
1310691220748: You are not holding a spot!
1310691279761: You are not holding a spot!
1310691369913: Reading spot in (1,0)
1310691370856: Reading spot in (1,0)
1310691371045: Parking read succeeded, spots=20,latency=1124
1310691371738: Reading spot in (1,0)
1310691371835: Parking read succeeded, spots=20,latency=968
1310691372579: Reading spot in (1,0)
1310691372653: Parking read succeeded, spots=20,latency=910
1310691373555: Parking read succeeded, spots=20,latency=905
1310691424252: Reading spot in (1,0)
1310691427650: Parking read succeeded, spots=19,latency=3385
1310692269982: *** benchmark starting ***
1310692270057: Reading spot in (1,1)
1310692273596: Parking read succeeded, spots=20,latency=3535
1310692274608: Reading spot in (0,0)
1310692275687: Parking read succeeded, spots=19,latency=1071
1310692276691: Reading spot in (1,0)
1310692279037: Parking read succeeded, spots=17,latency=2339
1310692280048: Reading spot in (0,0)
1310692280361: Parking read succeeded, spots=19,latency=301
1310692281371: Reading spot in (0,0)
1310692281724: Parking read succeeded, spots=18,latency=343
1310692282728: Reading spot in (0,0)
1310692283225: Parking read succeeded, spots=18,latency=485
1310692284228: Reading spot in (0,0)
1310692284660: Parking read succeeded, spots=18,latency=423
1310692285673: Reading spot in (1,1)
1310692288342: Parking read succeeded, spots=19,latency=2616
1310692289353: Reading spot in (0,1)
1310692290378: Parking read succeeded, spots=20,latency=1005
1310692291387: Reading spot in (1,0)
1310692291758: Parking read succeeded, spots=18,latency=360
1310692292766: Reading spot in (0,0)
1310692293103: Parking read succeeded, spots=18,latency=327
1310692294113: Reading spot in (0,1)
1310692294535: Parking read succeeded, spots=20,latency=400
1310692295548: Reading spot in (1,0)
1310692295886: Parking read succeeded, spots=18,latency=329
1310692296897: Reading spot in (1,1)
1310692297265: Parking read succeeded, spots=19,latency=334
1310692298274: Reading spot in (0,0)
1310692298677: Parking read succeeded, spots=18,latency=390
1310692299681: Reading spot in (1,0)
1310692299993: Parking read succeeded, spots=18,latency=261
1310692301038: Reading spot in (1,1)
1310692301832: Parking read succeeded, spots=19,latency=787
1310692302840: Requesting spot in (1,0)
1310692303182: Parking request succeeded, spots=18,latency=288
1310692304191: Reading spot in (0,0)
1310692304450: Parking read succeeded, spots=17,latency=214
1310692305463: Reading spot in (0,1)
1310692305783: Parking read succeeded, spots=20,latency=308
1310692306794: Reading spot in (0,1)
1310692307222: Parking read succeeded, spots=20,latency=420
1310692308228: Releasing spot in (1,0)
1310692308564: Parking release succeeded, spots=19,latency=326
1310692309574: Reading spot in (0,1)
1310692310417: Parking read succeeded, spots=20,latency=836
1310692311427: Reading spot in (0,0)
1310692312685: Parking read succeeded, spots=16,latency=1248
1310692313696: Reading spot in (0,1)
1310692314074: Parking read succeeded, spots=20,latency=372
1310692315083: Requesting spot in (0,0)
1310692315491: Parking request succeeded, spots=15,latency=392
