1310690364982: started, mId = 5103
1310690364983: region (-1, -1) out of bounds, dormant
1310690364987: UserClient started
1310690443169: Received UDP payload: 698
1310690544387: Received UDP payload: 470
1310690545011: Received UDP payload: 470
1310690545597: Received UDP payload: 470
1310690549352: Received UDP payload: 3629
1310690549418: Received UDP payload: 470
1310690554354: Received UDP payload: 470
1310690559341: Received UDP payload: 470
1310690564356: Received UDP payload: 470
1310690564558: Received UDP payload: 698
1310690564602: Received UDP payload: 851
1310690564635: Received UDP payload: 881
1310690564639: Received UDP payload: 698
1310690565638: Received UDP payload: 698
1310690565683: Received UDP payload: 851
1310690565696: Received UDP payload: 881
1310690565701: Received UDP payload: 698
1310690566736: Received UDP payload: 698
1310690566769: Received UDP payload: 851
1310690568036: Received UDP payload: 851
1310690568359: Received UDP payload: 851
1310690568697: Received UDP payload: 851
1310690569046: Received UDP payload: 851
1310690569347: Received UDP payload: 851
1310690569405: Received UDP payload: 470
1310690569686: Received UDP payload: 851
1310690570022: Received UDP payload: 851
1310690570067: Received UDP payload: 698
1310690571031: Received UDP payload: 698
1310690571082: Received UDP payload: 851
1310690572114: Received UDP payload: 851
1310690572457: Received UDP payload: 851
1310690572795: Received UDP payload: 851
1310690573125: Received UDP payload: 851
1310690573468: Received UDP payload: 851
1310690573805: Received UDP payload: 851
1310690574163: Received UDP payload: 851
1310690574211: Received UDP payload: 698
1310690574354: Received UDP payload: 470
1310690575220: Received UDP payload: 698
1310690575261: Received UDP payload: 851
1310690576304: Received UDP payload: 851
1310690576583: Received UDP payload: 851
1310690576886: Received UDP payload: 851
1310690577187: Received UDP payload: 851
1310690577488: Received UDP payload: 851
1310690577829: Received UDP payload: 851
1310690578141: Received UDP payload: 851
1310690578503: Received UDP payload: 851
1310690578551: Received UDP payload: 698
1310690579354: Received UDP payload: 470
1310690579555: Received UDP payload: 698
1310690579603: Received UDP payload: 851
1310690579607: Received UDP payload: 881
1310690579612: Received UDP payload: 698
1310690580628: Received UDP payload: 698
1310690580667: Received UDP payload: 851
1310690580701: Received UDP payload: 881
1310690580705: Received UDP payload: 698
1310690581684: Received UDP payload: 698
1310690581726: Received UDP payload: 851
1310690583040: Received UDP payload: 851
1310690583371: Received UDP payload: 851
1310690583679: Received UDP payload: 851
1310690584037: Received UDP payload: 851
1310690584379: Received UDP payload: 851
1310690584418: Received UDP payload: 470
1310690584661: Received UDP payload: 851
1310690585006: Received UDP payload: 851
1310690585086: Received UDP payload: 698
1310690589356: Received UDP payload: 470
1310690594355: Received UDP payload: 470
1310690599358: Received UDP payload: 470
1310690604365: Received UDP payload: 470
1310690609361: Received UDP payload: 470
1310690614356: Received UDP payload: 470
1310690619360: Received UDP payload: 470
1310690624348: Received UDP payload: 470
1310690629365: Received UDP payload: 470
1310690630705: Received UDP payload: 698
1310690630783: Received UDP payload: 851
1310690630819: Received UDP payload: 881
1310690630865: Received UDP payload: 698
1310690634360: Received UDP payload: 470
1310690639364: Received UDP payload: 470
1310690639555: Received UDP payload: 698
1310690639616: Received UDP payload: 851
1310690639660: Received UDP payload: 881
1310690639696: Received UDP payload: 1158
1310690639724: Received UDP payload: 698
1310690644361: Received UDP payload: 470
1310690649361: Received UDP payload: 470
